DEP Open Pop-Up 2,Dynamic Weather,17,59.784,roma_fpv,Spain,Five33Switchback,2021/07/19
DEP Open Series 2 Race 1,Dynamic Weather,43,50.798,roma_fpv,Spain,Five33Switchback,2021/01/18
DEP Open Series 2 Race 7,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,8,47.991,roma_fpv,Spain,Five33Switchback,2022/04/07
DEP Open Series 3 Race 2,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 3 Race 3,Karting Track,999,999.999,roma_fpv,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,23,56.248,roma_fpv,Spain,Five33Switchback,2022/03/19
DEP Open Series 3 Race 5,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,25,86.205,roma_fpv,Spain,Five33Switchback,2021/04/04
DEP Open Series 3 Race 7,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,24,89.182,roma_fpv,Spain,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999,999.999,roma_fpv,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,17,59.217,roma_fpv,Spain,Five33Switchback,2022/02/22
DEP Open Series 5 Race 1,Football Stadium,7,51.068,roma_fpv,Spain,Five33Switchback,2022/02/14
DEP Open Series 5 Race 2,Football Stadium,38,70.473,roma_fpv,Spain,Five33Switchback,2022/02/28
DEP Open Series 5 Race 3,Football Stadium,12,66.502,roma_fpv,Spain,Five33Switchback,2022/02/28
DEP Open Series 5 Race 4,Football Stadium,13,69.590,roma_fpv,Spain,Five33Switchback,2022/02/28
DEP Open Series 5 Race 5,Football Stadium,15,72.672,roma_fpv,Spain,Five33Switchback,2022/04/06
DEP Open Series 5 Race 6,Football Stadium,21,62.431,roma_fpv,Spain,Five33Switchback,2022/02/21
DEP Open Series 5 Race 7,Football Stadium,14,85.004,roma_fpv,Spain,Five33Switchback,2022/02/26
DEP Open Series 6 Race 1,Football Stadium,13,60.454,roma_fpv,Spain,Five33Switchback,2022/03/03
