DEP Open Series 5 Race 1,Football Stadium,999,999.999,thiiron,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999,999.999,thiiron,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,139,110.297,thiiron,Finland,TBSSpec,2021/11/18
DEP Open Series 5 Race 4,Football Stadium,146,126.558,thiiron,Finland,TBSSpec,2021/11/28
DEP Open Series 5 Race 5,Football Stadium,108,115.283,thiiron,Finland,TBSSpec,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,152,102.213,thiiron,Finland,TBSSpec,2021/12/16
DEP Open Series 5 Race 7,Football Stadium,186,180.061,thiiron,Finland,TBSSpec,2021/12/23
TBS EU Spec Series 10 Race 1,Football Stadium,155,92.306,thiiron,Finland,TBSSpec,2021/12/10
TBS EU Spec Series 10 Race 2,Empty Scene Day,145,95.249,thiiron,Finland,TBSSpec,2021/12/10
TBS EU Spec Series 10 Race 3,Night Factory 2,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,172,99.241,thiiron,Finland,TBSSpec,2022/01/16
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,106,81.535,thiiron,Finland,TBSSpec,2022/01/25
TBS EU Spec Series 10 Race 6,Large Carpark,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,155,115.624,thiiron,Finland,TBSSpec,2021/10/15
TBS EU Spec Series 8 Losers Final,Dynamic Weather,183,94.691,thiiron,Finland,TBSSpec,2021/10/15
TBS EU Spec Series 8 Race 1,Dynamic Weather,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,181,122.203,thiiron,Finland,TBSSpec,2021/10/14
TBS EU Spec Series 8 Race 3,Football Stadium,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,170,87.203,thiiron,Finland,TBSSpec,2021/10/20
TBS EU Spec Series 8 Race 6,Football Stadium,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 8 Race 7,Empty Scene Day,200,100.512,thiiron,Finland,TBSSpec,2021/11/11
TBS EU Spec Series 9 Final,Dynamic Weather,165,86.668,thiiron,Finland,TBSSpec,2021/11/18
TBS EU Spec Series 9 Losers Final,Dynamic Weather,180,90.326,thiiron,Finland,TBSSpec,2021/11/08
TBS EU Spec Series 9 Race 1,Football Stadium,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 9 Race 2,Dynamic Weather,999,999.999,thiiron,NO_DATA
TBS EU Spec Series 9 Race 3,Empty Scene Day,189,90.782,thiiron,Finland,TBSSpec,2021/10/13
TBS EU Spec Series 9 Race 4,Football Stadium,154,95.811,thiiron,Finland,TBSSpec,2021/10/27
TBS EU Spec Series 9 Race 5,Empty Scene Day,177,90.411,thiiron,Finland,TBSSpec,2021/10/27
TBS EU Spec Series 9 Race 6,Empty Scene Day,125,92.152,thiiron,Finland,TBSSpec,2021/10/26
TBS EU Spec Series 9 Race 7,NEC Birmingham,128,90.934,thiiron,Finland,TBSSpec,2021/11/09
Train insane - aircrasher powerloop - MaiOnHigh,Empty Scene Day,999,999.999,thiiron,NO_DATA
Train Insane - APEX Training Routine - MaiOnHigh,Empty Scene Day,58,37.221,thiiron,Finland,TBSSpec,2022/02/11
Train Insane - Corkscrews - MaiOnHigh,Empty Scene Day,91,47.077,thiiron,Finland,TBSSpec,2022/01/13
Train Insane - Dive - MaiOnHigh,Empty Scene Day,43,37.035,thiiron,Finland,TBSSpec,2022/01/13
Train Insane - Dutch 8 - MaiOnHigh,Empty Scene Day,38,71.261,thiiron,Finland,TBSSpec,2022/02/11
Train insane - High jumps - MaiOnHigh,Empty Scene Day,31,35.489,thiiron,Finland,TBSSpec,2022/01/13
Train Insane - Ladder - MaiOnHigh,Empty Scene Day,54,55.702,thiiron,Finland,TBSSpec,2022/01/13
Train Insane - Long Dive - MaiOnHigh,Empty Scene Day,39,34.760,thiiron,Finland,TBSSpec,2022/01/13
Train Insane - powerloops - MaiOnHigh,Empty Scene Day,54,49.837,thiiron,Finland,TBSSpec,2022/01/13
Train insane - powerloop to sharp turn - MaiOnHigh,Empty Scene Day,999,999.999,thiiron,NO_DATA
Train Insane Race Track - MaiOnHigh,Empty Scene Day,71,96.194,thiiron,Finland,TBSSpec,2022/01/11
Train Insane - Reversed split-s - MaiOnhigh,Empty Scene Day,28,51.588,thiiron,Finland,TBSSpec,2022/01/13
Train insane - sharp turns - MaiOnHigh,Empty Scene Day,999,999.999,thiiron,NO_DATA
Train Insane - slalom - MaiOnHigh,Empty Scene Day,36,19.941,thiiron,Finland,TBSSpec,2022/01/13
Train insane - Split-S ladder - MaiOnHigh,Empty Scene Day,31,88.710,thiiron,Finland,TBSSpec,2022/01/13
Train insane - Split-S - MaiOnHigh,Empty Scene Day,33,22.834,thiiron,Finland,TBSSpec,2022/01/13
Train Insane- Test1 - MaiOnHigh,Empty Scene Day,91,66.397,thiiron,Finland,TBSSpec,2022/01/16
Train Insane - Tunnels - MaiOnHigh,Empty Scene Day,27,47.626,thiiron,Finland,TBSSpec,2022/01/13
Train insane - wide slalom - MaiOnHigh,Empty Scene Day,999,999.999,thiiron,NO_DATA
Week 10 TT - MCKPractice2,Football Stadium,152,85.195,thiiron,Finland,TBSSpec,2022/01/03
Week 12 TT - GQ22 by Chris M,Football Stadium,152,47.158,thiiron,Finland,TBSSpec,2022/02/07
Week 1 TT - Levice by TheFPVdoctor,Empty Scene Day,999,999.999,thiiron,NO_DATA
Week 2 TT - Ruinous by NM Grower,Dynamic Weather,999,999.999,thiiron,NO_DATA
Week 5 TT - Cuernavaca LightPath by MorshaFPV,Empty Scene Night,68,79.720,thiiron,Finland,TBSSpec,2021/11/13
Week 8 TT - DF1 by DragonFlyte,Dynamic Weather,45,128.483,thiiron,Finland,TBSSpec,2021/12/22
Week 9 TT - CM17 by Chris M,Football Stadium,999,999.999,thiiron,NO_DATA
