TBS EU Spec Series 6 Final,Empty Scene Day,41,81.646,wiz,Unknown,Five33Switchback,2020/12/04
TBS EU Spec Series 6 Losers Final,Football Stadium,23,68.091,wiz,Unknown,Five33Switchback,2020/12/04
TBS EU Spec Series 6 Race 1,Future Hangar Empty,53,70.769,wiz,Unknown,Five33Switchback,2020/11/25
TBS EU Spec Series 6 Race 2,Empty Scene Day,57,71.896,wiz,Unknown,Five33Switchback,2020/11/05
TBS EU Spec Series 6 Race 4,NEC Birmingham,999,999.999,wiz,NO_DATA
TBS EU Spec Series 6 Race 5,Dynamic Weather,999,999.999,wiz,NO_DATA
TBS EU Spec Series 6 Race 6,Empty Scene Day,999,999.999,wiz,NO_DATA
TBS EU Spec Series 6 Race 7,Empty Scene Day,121,62.803,wiz,Unknown,Five33Switchback,2020/11/24
TBS EU Spec Series 7 Final,Empty Scene Day,122,83.548,wiz,Unknown,Five33Switchback,2021/03/05
TBS EU Spec Series 7 Race 1,Football Stadium,119,77.032,wiz,Unknown,Five33Switchback,2021/01/08
TBS EU Spec Series 7 Race 2,Empty Scene Day,45,69.022,wiz,Unknown,Five33Switchback,2021/01/25
TBS EU Spec Series 7 Race 3,Empty Scene Day,36,71.110,wiz,Unknown,Five33Switchback,2021/02/01
TBS EU Spec Series 7 Race 4,Empty Scene Day,67,71.301,wiz,Unknown,Five33Switchback,2021/01/29
TBS EU Spec Series 7 Race 5,IndoorGoKart,22,68.465,wiz,Unknown,Five33Switchback,2021/02/06
TBS EU Spec Series 7 Race 6,Future Hangar Empty,999,999.999,wiz,NO_DATA
TBS EU Spec Series 7 Race 7,Empty Scene Day,999,999.999,wiz,NO_DATA
VRL 7 Race 4,Dynamic Weather,137,102.404,wiz,Unknown,Five33Switchback,2020/11/22
VRL 7 Track 1,Future Hangar,78,100.113,wiz,Unknown,Five33Switchback,2020/10/31
VRL 7 Track 2,Future Hangar Empty,84,108.928,wiz,Unknown,Five33Switchback,2020/11/07
VRL 7 Track 3,Dynamic Weather,999,999.999,wiz,NO_DATA
VRL 7 Track 5,Dynamic Weather,85,87.445,wiz,Unknown,Five33Switchback,2020/12/09
VRL 7 Track 6,Dynamic Weather,141,90.023,wiz,Unknown,Five33Switchback,2020/12/20
VRL7 Tryouts,Future Hangar Empty,131,98.532,wiz,Unknown,Five33Switchback,2020/10/09
VRL Season 7 Championships,Dynamic Weather,85,107.916,wiz,Unknown,Five33Switchback,2020/12/28
