DEP Open Pop-Up 2,Dynamic Weather,66,69.313,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/07/12
DEP Open Series 2 Race 1,Dynamic Weather,127,60.935,xgoodvibesx,UnitedKingdom,BMSJS-1,2020/12/08
DEP Open Series 2 Race 7,Football Stadium,151,109.621,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/03/22
DEP Open Series 3 Race 1,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,123,94.762,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/03/13
DEP Open Series 3 Race 3,Karting Track,91,92.662,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/02/19
DEP Open Series 3 Race 4,Football Stadium,179,75.145,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/03/01
DEP Open Series 3 Race 5,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,97,106.279,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/03/12
DEP Open Series 3 Race 7,Football Stadium,157,109.354,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/03/23
DEP Open Series 4 Race 1,Football Stadium,123,96.304,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/04/05
DEP Open Series 4 Race 2,Football Stadium,117,112.602,xgoodvibesx,UnitedKingdom,Solleva,2021/04/10
DEP Open Series 4 Race 3,Football Stadium,109,76.385,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/04/27
DEP Open Series 4 Race 4,Football Stadium,100,94.512,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/04/30
DEP Open Series 4 Race 5,Football Stadium,147,73.229,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/05/05
DEP Open Series 4 Race 6,Football Stadium,118,78.344,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/05/19
DEP Open Series 4 Race 7,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,97,64.838,xgoodvibesx,UnitedKingdom,PantherMM,2021/10/27
DEP Open Series 5 Race 2,Football Stadium,120,90.860,xgoodvibesx,UnitedKingdom,PantherMM,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,52,78.733,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/11/18
DEP Open Series 5 Race 4,Football Stadium,96,92.792,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/11/28
DEP Open Series 5 Race 5,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,82,75.349,xgoodvibesx,UnitedKingdom,Five33Switchback,2022/04/19
DEP Open Series 5 Race 7,Football Stadium,111,114.799,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/12/22
DEP Open Series 6 Race 1,Football Stadium,58,71.844,xgoodvibesx,UnitedKingdom,Five33Switchback,2022/03/05
DEP Open Series 6 Race 2,Football Stadium,59,102.336,xgoodvibesx,UnitedKingdom,PantherMM,2022/03/10
DEP Spec Series 1 Race 5,Football Stadium,118,104.585,xgoodvibesx,UnitedKingdom,BMSJS-1,2021/03/02
EU Spec Season 4 Race 1,Football Stadium,134,96.009,xgoodvibesx,UnitedKingdom,TBSSpec,2020/05/07
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 10 Losers Final,Football Stadium,59,56.469,xgoodvibesx,UnitedKingdom,TBSSpec,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,83,64.791,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/27
TBS EU Spec Series 10 Race 2,Empty Scene Day,92,71.353,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/26
TBS EU Spec Series 10 Race 3,Night Factory 2,61,72.340,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/25
TBS EU Spec Series 10 Race 4,Dynamic Weather,91,71.634,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/25
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,63,60.852,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/24
TBS EU Spec Series 10 Race 6,Large Carpark,33,41.169,xgoodvibesx,UnitedKingdom,TBSSpec,2022/01/28
TBS EU Spec Series 10 Race 7,Football Stadium,67,73.355,xgoodvibesx,UnitedKingdom,TBSSpec,2022/02/14
TBS EU Spec Series 4 FINAL,Dynamic Weather,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 4 Race 2,Empty Scene Day,172,77.266,xgoodvibesx,UnitedKingdom,TBSSpec,2020/05/14
TBS EU Spec Series 4 Race 3,IndoorGoKart,185,143.354,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/07/06
TBS EU Spec Series 4 Race 4,Empty Scene Day,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,104,97.031,xgoodvibesx,UnitedKingdom,TBSSpec,2021/07/10
TBS EU Spec Series 4 Race 7,Football Stadium,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,156,103.772,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/07/06
TBS EU Spec Series 5 Losers Final,Dynamic Weather,70,83.658,xgoodvibesx,UnitedKingdom,TBSSpec,2021/08/08
TBS EU Spec Series 5 Race 3,Dynamic Weather,999,999.999,xgoodvibesx,NO_DATA
TBS EU Spec Series 5 Race 4,Football Stadium,166,100.894,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/07/07
TBS EU Spec Series 5 Race 5,NEC Birmingham,123,83.431,xgoodvibesx,UnitedKingdom,Five33Switchback,2021/07/06
