2022 Freedom Spec Champioship,Dynamic Weather,999.999,BEARRACER,NO_DATA
2022 MultiGP Canadian Series by DCH FPV,Countryside,999.999,BEARRACER,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,73.512,BEARRACER,France,SniperX,2022/05/27
2022 MultiGP IO Intermediate,Dynamic Weather,999.999,BEARRACER,NO_DATA
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999.999,BEARRACER,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,53.825,BEARRACER,France,SniperX,2022/05/25
2022 MultiGP IO World Cup,Dynamic Weather,55.450,BEARRACER,France,SniperX,2022/06/12
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,45.051,BEARRACER,France,SniperX,2021/12/25
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,42.641,BEARRACER,France,SniperX,2022/01/13
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999.999,BEARRACER,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,52.905,BEARRACER,France,SniperX,2022/03/11
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,42.288,BEARRACER,France,SniperX,2022/04/09
DEP Open Pop-Up 2,Dynamic Weather,57.761,BEARRACER,France,SniperX,2022/09/12
DEP Open Series 2 Race 1,Dynamic Weather,39.842,BEARRACER,France,SniperX,2022/05/16
DEP Open Series 2 Race 7,Football Stadium,70.005,BEARRACER,France,SniperX,2022/11/13
DEP Open Series 3 Race 1,Football Stadium,47.286,BEARRACER,France,SniperX,2022/05/17
DEP Open Series 3 Race 2,Football Stadium,61.933,BEARRACER,France,SniperX,2022/09/13
DEP Open Series 3 Race 3,Karting Track,999.999,BEARRACER,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,999.999,BEARRACER,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,69.129,BEARRACER,France,CarbiXZero,2021/10/13
DEP Open Series 3 Race 6,Football Stadium,86.842,BEARRACER,France,Five33Switchback,2021/03/10
DEP Open Series 3 Race 7,Football Stadium,77.545,BEARRACER,France,Five33Switchback,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,76.626,BEARRACER,France,Five33Switchback,2021/03/31
DEP Open Series 4 Race 2,Football Stadium,92.049,BEARRACER,France,Five33Switchback,2021/04/07
DEP Open Series 4 Race 3,Football Stadium,53.334,BEARRACER,France,SniperX,2022/06/16
DEP Open Series 4 Race 4,Football Stadium,64.587,BEARRACER,France,Five33Switchback,2022/12/14
DEP Open Series 4 Race 5,Football Stadium,54.582,BEARRACER,France,SniperX,2022/03/18
DEP Open Series 4 Race 6,Football Stadium,999.999,BEARRACER,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,59.049,BEARRACER,France,Five33Switchback,2021/09/02
DEP Open Series 5 Race 1,Football Stadium,49.787,BEARRACER,France,SniperX,2022/06/23
DEP Open Series 5 Race 2,Football Stadium,62.562,BEARRACER,France,CarbiXZero,2021/10/27
DEP Open Series 5 Race 3,Football Stadium,61.764,BEARRACER,France,SniperX,2022/11/29
DEP Open Series 5 Race 4,Football Stadium,999.999,BEARRACER,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,69.232,BEARRACER,France,CarbiXZero,2021/12/08
DEP Open Series 5 Race 6,Football Stadium,60.147,BEARRACER,France,SniperX,2022/06/30
DEP Open Series 5 Race 7,Football Stadium,82.499,BEARRACER,France,SniperX,2022/11/29
DEP Open Series 6 Race 1,Football Stadium,57.647,BEARRACER,France,SniperX,2022/04/10
DEP Open Series 6 Race 2,Football Stadium,71.366,BEARRACER,France,FoxRacingV1,2023/04/15
DEP Spec Series 1 Race 5,Football Stadium,999.999,BEARRACER,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,58.354,BEARRACER,France,SniperX,2022/03/31
MGP Champs 2022,Dynamic Weather,999.999,BEARRACER,NO_DATA
MGP Champs 2022 sports track,Empty Scene Day,37.916,BEARRACER,France,SniperX,2022/11/13
MGP Ice Rink Race 2022,Empty Scene Day,49.211,BEARRACER,France,SniperX,2022/05/12
MultiGP 2022 Global Qualifier,Dynamic Weather,27.617,BEARRACER,France,SniperX,2022/04/25
VRL S9 FINALS,Dynamic Weather,81.874,BEARRACER,France,FoxRacingV1,2023/03/24
VRL S9 T1,Dynamic Weather,77.699,BEARRACER,France,Five33Switchback,2023/01/21
VRL S9 T2,Dynamic Weather,65.245,BEARRACER,France,Five33Switchback,2023/01/27
VRL S9 T3,Dynamic Weather,62.570,BEARRACER,France,Five33Switchback,2023/02/03
VRL S9 T4,Dynamic Weather,77.681,BEARRACER,France,Five33Switchback,2023/02/15
VRL S9 T5,Dynamic Weather,77.070,BEARRACER,France,Ossa,2023/02/25
VRL S9 T6,Dynamic Weather,999.999,BEARRACER,NO_DATA
VRL S9 T7,Dynamic Weather,79.882,BEARRACER,France,FoxRacingV1,2023/03/10
VRL S9 T8,Dynamic Weather,83.478,BEARRACER,France,FoxRacingV1,2023/03/18
VRL Season 9 Tryouts,Dynamic Weather,90.168,BEARRACER,France,Five33Switchback,2023/01/04
