2020 Canadian MultiGP Series,Football Stadium,46.383,Barnyard,UnitedStates,Five33Switchback,2022/12/12
2020 MultiGP Champs presented by RDQ,Football Stadium,74.317,Barnyard,UnitedStates,Five33Switchback,2021/12/10
2021 MultiGP Champs Track 1,Empty Scene Day,97.740,Barnyard,UnitedStates,Five33Switchback,2021/10/24
2021 MultiGP Champs Track 2,Empty Scene Day,57.555,Barnyard,UnitedStates,Five33Switchback,2021/10/28
2022 Freedom Spec Champioship,Dynamic Weather,62.063,Barnyard,UnitedStates,Five33Switchback,2022/08/27
2022 MultiGP Canadian Series by DCH FPV,Countryside,44.611,Barnyard,UnitedStates,Five33Switchback,2022/06/09
2022 MultiGP IO Freedom Spec,Dynamic Weather,80.279,Barnyard,UnitedStates,Five33Switchback,2023/02/20
2022 MultiGP IO Intermediate,Dynamic Weather,51.773,Barnyard,UnitedStates,Five33Switchback,2023/01/23
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999.999,Barnyard,NO_DATA
2022 MultiGP IO Micro,Countryside,999.999,Barnyard,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,73.989,Barnyard,UnitedStates,Five33Switchback,2022/08/13
2022 MultiGP IO World Cup,Dynamic Weather,67.662,Barnyard,UnitedStates,Five33Switchback,2022/06/01
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,32.261,Barnyard,UnitedStates,Five33Switchback,2023/03/22
2023 MultiGP GQ-BonerFPV,Dynamic Weather,26.377,Barnyard,UnitedStates,TBSSpec,2023/03/14
2023 MultiGP GQ-Fastodon,Dynamic Weather,35.624,Barnyard,UnitedStates,TBSSpec,2023/03/18
2023 MultiGP GQ-Hakko,Dynamic Weather,45.024,Barnyard,UnitedStates,Five33Switchback,2023/03/05
2023 MultiGP GQ-Hyper,Dynamic Weather,36.307,Barnyard,UnitedStates,Five33Switchback,2023/03/01
2023 MultiGp GQ-Leviathann,Dynamic Weather,30.088,Barnyard,UnitedStates,Five33Switchback,2023/03/05
2023 MultiGP GQ-NMGrower,Dynamic Weather,38.034,Barnyard,UnitedStates,Five33Switchback,2023/03/12
2023 MultiGP GQ-ROFL,Dynamic Weather,999.999,Barnyard,NO_DATA
BDRA Championships 2022,Countryside,51.109,Barnyard,UnitedStates,Five33Switchback,2023/03/07
CDRA 2023  Champs Hyper,Empty Scene Day,38.349,Barnyard,UnitedStates,TBSSpec,2023/03/28
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999.999,Barnyard,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,999.999,Barnyard,NO_DATA
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,67.944,Barnyard,UnitedStates,Five33Switchback,2022/02/15
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,69.681,Barnyard,UnitedStates,Five33Switchback,2022/03/13
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,76.004,Barnyard,UnitedStates,Five33Switchback,2022/04/05
DEP Open Pop-Up 2,Dynamic Weather,68.644,Barnyard,UnitedStates,Five33Switchback,2022/03/03
DEP Open Series 2 Race 1,Dynamic Weather,61.775,Barnyard,UnitedStates,Five33Switchback,2021/10/12
DEP Open Series 2 Race 7,Football Stadium,75.406,Barnyard,UnitedStates,Five33Switchback,2022/12/10
DEP Open Series 3 Race 1,Football Stadium,53.978,Barnyard,UnitedStates,Five33Switchback,2023/04/23
DEP Open Series 3 Race 2,Football Stadium,72.859,Barnyard,UnitedStates,Five33Switchback,2022/01/18
DEP Open Series 3 Race 3,Karting Track,77.340,Barnyard,UnitedStates,Five33Switchback,2023/04/23
DEP Open Series 3 Race 4,Football Stadium,57.380,Barnyard,UnitedStates,Five33Switchback,2023/04/12
DEP Open Series 3 Race 5,Football Stadium,85.804,Barnyard,UnitedStates,Five33Switchback,2021/03/16
DEP Open Series 3 Race 6,Football Stadium,111.484,Barnyard,UnitedStates,Five33Switchback,2021/12/05
DEP Open Series 3 Race 7,Football Stadium,80.087,Barnyard,UnitedStates,Five33Switchback,2023/04/29
DEP Open Series 4 Race 1,Football Stadium,75.745,Barnyard,UnitedStates,Five33Switchback,2022/12/07
DEP Open Series 4 Race 2,Football Stadium,97.146,Barnyard,UnitedStates,Five33Switchback,2023/05/06
DEP Open Series 4 Race 3,Football Stadium,64.010,Barnyard,UnitedStates,Five33Switchback,2022/04/23
DEP Open Series 4 Race 4,Football Stadium,89.715,Barnyard,UnitedStates,Five33Switchback,2021/04/24
DEP Open Series 4 Race 5,Football Stadium,60.131,Barnyard,UnitedStates,Five33Switchback,2023/05/07
DEP Open Series 4 Race 6,Football Stadium,63.009,Barnyard,UnitedStates,Five33Switchback,2023/05/09
DEP Open Series 4 Race 7,Football Stadium,68.324,Barnyard,UnitedStates,Five33Switchback,2022/02/02
DEP Open Series 5 Race 1,Football Stadium,55.984,Barnyard,UnitedStates,Five33Switchback,2023/05/12
DEP Open Series 5 Race 2,Football Stadium,68.169,Barnyard,UnitedStates,Five33Switchback,2022/11/24
