DEP Open Pop-Up 2,Dynamic Weather,999.999,CoolWipp,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,61.437,CoolWipp,UnitedStates,TBSSpec,2022/10/04
DEP Open Series 2 Race 7,Football Stadium,110.779,CoolWipp,UnitedStates,TBSSpec,2022/10/04
DEP Open Series 3 Race 1,Football Stadium,999.999,CoolWipp,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,113.706,CoolWipp,UnitedStates,TBSSpec,2022/10/04
DEP Open Series 3 Race 3,Karting Track,103.245,CoolWipp,UnitedStates,Five33Switchback,2022/11/04
DEP Open Series 3 Race 4,Football Stadium,999.999,CoolWipp,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,93.343,CoolWipp,UnitedStates,Five33Switchback,2022/11/08
DEP Open Series 3 Race 6,Football Stadium,121.749,CoolWipp,UnitedStates,Five33Switchback,2022/11/08
DEP Open Series 3 Race 7,Football Stadium,100.436,CoolWipp,UnitedStates,Five33Switchback,2022/11/09
DEP Open Series 4 Race 1,Football Stadium,109.779,CoolWipp,UnitedStates,Five33Switchback,2022/11/04
DEP Open Series 4 Race 2,Football Stadium,999.999,CoolWipp,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,999.999,CoolWipp,NO_DATA
DEP Open Series 4 Race 4,Football Stadium,102.571,CoolWipp,UnitedStates,Five33Switchback,2022/11/04
DEP Open Series 4 Race 5,Football Stadium,78.622,CoolWipp,UnitedStates,Five33Switchback,2022/11/04
DEP Open Series 4 Race 6,Football Stadium,88.774,CoolWipp,UnitedStates,Five33Switchback,2022/11/04
DEP Open Series 4 Race 7,Football Stadium,999.999,CoolWipp,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,69.072,CoolWipp,UnitedStates,Five33Switchback,2022/11/09
DEP Open Series 5 Race 2,Football Stadium,96.605,CoolWipp,UnitedStates,Five33Switchback,2022/11/09
DEP Open Series 5 Race 3,Football Stadium,85.292,CoolWipp,UnitedStates,Five33Switchback,2022/11/09
DEP Open Series 5 Race 4,Football Stadium,96.553,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Open Series 5 Race 5,Football Stadium,98.794,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Open Series 5 Race 6,Football Stadium,86.290,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Open Series 5 Race 7,Football Stadium,107.414,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Open Series 6 Race 1,Football Stadium,86.709,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Open Series 6 Race 2,Football Stadium,103.714,CoolWipp,UnitedStates,Five33Switchback,2022/11/10
DEP Spec Series 1 Race 5,Football Stadium,999.999,CoolWipp,NO_DATA
VRL S9 FINALS,Dynamic Weather,92.282,CoolWipp,UnitedStates,SouthEastFPV,2023/03/25
VRL S9 T1,Dynamic Weather,87.180,CoolWipp,UnitedStates,Five33Switchback,2023/01/21
VRL S9 T2,Dynamic Weather,76.487,CoolWipp,UnitedStates,Five33Switchback,2023/01/25
VRL S9 T3,Dynamic Weather,68.590,CoolWipp,UnitedStates,Five33Switchback,2023/02/04
VRL S9 T4,Dynamic Weather,85.512,CoolWipp,UnitedStates,QQ190,2023/02/13
VRL S9 T5,Dynamic Weather,90.127,CoolWipp,UnitedStates,Five33Switchback,2023/02/24
VRL S9 T6,Dynamic Weather,90.058,CoolWipp,UnitedStates,Five33Switchback,2023/03/03
VRL S9 T7,Dynamic Weather,112.569,CoolWipp,UnitedStates,Five33Switchback,2023/03/08
VRL S9 T8,Dynamic Weather,90.682,CoolWipp,UnitedStates,SouthEastFPV,2023/03/18
VRL Season 9 Tryouts,Dynamic Weather,118.385,CoolWipp,UnitedStates,QQ190,2022/12/25
