VRL 7 Race 4,Dynamic Weather,96.495,Dew,Poland,Mode2Ghost,2020/12/02
VRL 7 Track 1,Future Hangar,110.416,Dew,Poland,Ossa,2020/10/26
VRL 7 Track 2,Future Hangar Empty,125.071,Dew,Poland,Ossa,2020/11/04
VRL 7 Track 3,Dynamic Weather,80.529,Dew,Poland,Ossa,2020/11/17
VRL 7 Track 5,Dynamic Weather,87.423,Dew,Poland,CarbiXZero,2020/12/09
VRL 7 Track 6,Dynamic Weather,86.990,Dew,Poland,CarbiXZero,2020/12/17
VRL7 Tryouts,Future Hangar Empty,95.119,Dew,Poland,Ossa,2020/10/02
VRL S9 FINALS,Dynamic Weather,83.299,Dew,Poland,Chief,2023/03/24
VRL S9 T1,Dynamic Weather,80.983,Dew,Poland,Five33Switchback,2023/01/21
VRL S9 T2,Dynamic Weather,66.513,Dew,Poland,Five33Switchback,2023/01/28
VRL S9 T3,Dynamic Weather,64.681,Dew,Poland,Five33Switchback,2023/02/03
VRL S9 T4,Dynamic Weather,77.065,Dew,Poland,Five33Switchback,2023/02/17
VRL S9 T5,Dynamic Weather,80.326,Dew,Poland,Chief,2023/02/27
VRL S9 T6,Dynamic Weather,79.767,Dew,Poland,Chief,2023/03/04
VRL S9 T7,Dynamic Weather,81.203,Dew,Poland,Chief,2023/03/10
VRL S9 T8,Dynamic Weather,86.190,Dew,Poland,Chief,2023/03/17
VRL Season 7 Championships,Dynamic Weather,999.999,Dew,NO_DATA
VRL Season 9 Tryouts,Dynamic Weather,94.908,Dew,Poland,Five33Switchback,2022/12/26
