2020 Canadian MultiGP Series,Football Stadium,999.999,Granpaw,NO_DATA
2020 MultiGP Champs presented by RDQ,Football Stadium,999.999,Granpaw,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,999.999,Granpaw,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,999.999,Granpaw,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,279.171,Granpaw,UnitedStates,TBSSpec,2022/05/30
2022 MultiGP IO Intermediate,Dynamic Weather,129.093,Granpaw,UnitedStates,TBSSpec,2022/05/28
2022 MultiGP IO Team,Dynamic Weather,201.651,Granpaw,UnitedStates,TBSSpec,2022/05/26
2022 MultiGP IO World Cup,Dynamic Weather,234.552,Granpaw,UnitedStates,Five33Switchback,2022/05/28
Mayhem 2021 By YAWESOME,Empty Scene Day,130.837,Granpaw,UnitedStates,TBSSpec,2022/04/01
Mayhem 22 by SFPV,Empty Scene Day,999.999,Granpaw,NO_DATA
Mayhem Dawn till Dusk,Empty Scene Day,133.591,Granpaw,UnitedStates,Five33Switchback,2020/04/08
MGP2018IOIntermediate,Empty Scene Day,56.616,Granpaw,UnitedStates,Five33Switchback,2020/04/08
MGP2018IORookie,Empty Scene Day,25.819,Granpaw,UnitedStates,Five33Switchback,2020/04/08
MGP2018IOTeam,Empty Scene Day,80.215,Granpaw,UnitedStates,LethalConception,2020/06/05
MGP2018IOWorldCup,Empty Scene Day,999.999,Granpaw,NO_DATA
MGP Ice Rink Race 2022,Empty Scene Day,999.999,Granpaw,NO_DATA
MultiGP 2016 RF,Football Stadium,74.370,Granpaw,UnitedStates,SingularitumV5,2020/04/22
MultiGP 2017 RF,Football Stadium,999.999,Granpaw,NO_DATA
MultiGP 2018 RF,Empty Scene Day,158.456,Granpaw,UnitedStates,SingularitumV5,2020/04/23
MultiGP 2018 RQ,Football Stadium,999.999,Granpaw,NO_DATA
MultiGP_2019_Qualifier_Large,Dynamic Weather,999.999,Granpaw,NO_DATA
MultiGP_2019_Qualifier_Spec,Empty Scene Day,75.194,Granpaw,UnitedStates,SingularitumV5,2020/04/17
MultiGP 2019 Sport Championships,Football Stadium,999.999,Granpaw,NO_DATA
MultiGP 2020 Global Qualifier,Empty Scene Day,999.999,Granpaw,NO_DATA
MultiGP 2021 Global Qualifier,Football Stadium,999.999,Granpaw,NO_DATA
MultiGP 2022 Global Qualifier,Dynamic Weather,999.999,Granpaw,NO_DATA
MultiGP Bessel Run,Football Stadium,35.091,Granpaw,UnitedStates,LethalConception,2020/06/29
MultiGP-Championships-2019,Empty Scene Day,999.999,Granpaw,NO_DATA
MultiGP High Voltage,Football Stadium,36.921,Granpaw,UnitedStates,LethalConception,2020/05/11
MultiGP IO 2019 Team,Empty Scene Day,104.435,Granpaw,UnitedStates,SingularitumV5,2020/04/16
MultiGP IO 2019 World Cup,Empty Scene Day,999.999,Granpaw,NO_DATA
MultiGPIOSpec2018,Empty Scene Day,146.600,Granpaw,UnitedStates,SingularitumV5,2020/04/17
MultiGP Round 2 FNL,Sports Hall,999.999,Granpaw,NO_DATA
MultiGP Tsunami,Football Stadium,32.554,Granpaw,UnitedStates,SingularitumV5,2020/05/02
MultiGP UTT 1,Football Stadium,39.824,Granpaw,UnitedStates,LethalConception,2020/05/11
MultiGP UTT 5,Football Stadium,35.473,Granpaw,UnitedStates,SingularitumV5,2020/05/02
MultiGP UTT 6,Football Stadium,53.913,Granpaw,UnitedStates,SingularitumV5,2020/04/22
Quad Rivals 2021 Race 10 - 2021 is Dead,Empty Scene Day,255.709,Granpaw,UnitedStates,TBSSpec,2022/01/14
Quad Rivals 2021 Race 1 - Season Warmup,Football Stadium,999.999,Granpaw,NO_DATA
Quad Rivals 2021 Race 2 - Season Opener,Empty Scene Day,999.999,Granpaw,NO_DATA
Quad Rivals 2021 Race 3 - Devils Ridge,Empty Scene Day,999.999,Granpaw,NO_DATA
Quad Rivals 2021 Race 4 - Freedom Spec,Empty Scene Day,119.175,Granpaw,UnitedStates,TBSSpec,2021/05/26
Quad Rivals 2021 Race 5 - Bring the Heat,Empty Scene Day,133.721,Granpaw,UnitedStates,TBSSpec,2021/06/29
Quad Rivals 2021 Race 6 - Temperature Warning,Empty Scene Day,999.999,Granpaw,NO_DATA
Quad Rivals 2021 Race 7 - Around the Trees in 20 Seconds,Empty Scene Day,180.999,Granpaw,UnitedStates,Five33Switchback,2021/11/02
Quad Rivals 2021 Race 8 - Rivalicious,Empty Scene Day,139.432,Granpaw,UnitedStates,Five33Switchback,2021/12/10
Quad Rivals 2021 Race 9 - Holiday Hootenanny,Empty Scene Day,176.755,Granpaw,UnitedStates,TBSSpec,2021/12/30
