VRL S9 FINALS,Dynamic Weather,122.508,Grif,UnitedStates,TBSSpec,2023/03/25
VRL S9 T1,Dynamic Weather,113.753,Grif,UnitedStates,Five33Switchback,2023/01/29
VRL S9 T2,Dynamic Weather,999.999,Grif,NO_DATA
VRL S9 T3,Dynamic Weather,82.657,Grif,UnitedStates,Five33Switchback,2023/02/02
VRL S9 T4,Dynamic Weather,98.337,Grif,UnitedStates,Five33Switchback,2023/02/11
VRL S9 T5,Dynamic Weather,115.182,Grif,UnitedStates,Five33Switchback,2023/02/27
VRL S9 T6,Dynamic Weather,146.735,Grif,UnitedStates,Five33Switchback,2023/03/06
VRL S9 T7,Dynamic Weather,128.364,Grif,UnitedStates,Five33Switchback,2023/03/07
VRL S9 T8,Dynamic Weather,124.783,Grif,UnitedStates,TBSSpec,2023/03/16
VRL Season 9 Tryouts,Dynamic Weather,137.669,Grif,UnitedStates,Five33Switchback,2022/12/24
