2022 Freedom Spec Champioship,Dynamic Weather,999.999,Infinitee,NO_DATA
2022 MultiGP Canadian Series by DCH FPV,Countryside,999.999,Infinitee,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,999.999,Infinitee,NO_DATA
2022 MultiGP IO Intermediate,Dynamic Weather,999.999,Infinitee,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,53.640,Infinitee,UnitedStates,Five33Switchback,2022/06/13
2022 MultiGP IO World Cup,Dynamic Weather,60.176,Infinitee,UnitedStates,Five33Switchback,2022/06/16
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,30.149,Infinitee,UnitedStates,Five33Switchback,2023/03/22
2023 MultiGP GQ-BonerFPV,Dynamic Weather,23.253,Infinitee,UnitedStates,Five33Switchback,2023/02/28
2023 MultiGP GQ-Fastodon,Dynamic Weather,999.999,Infinitee,NO_DATA
2023 MultiGP GQ-Hakko,Dynamic Weather,36.569,Infinitee,UnitedStates,Five33Switchback,2023/03/01
2023 MultiGP GQ-Hyper,Dynamic Weather,35.717,Infinitee,UnitedStates,Five33Switchback,2023/02/28
2023 MultiGp GQ-Leviathann,Dynamic Weather,28.468,Infinitee,UnitedStates,Five33Switchback,2023/03/01
2023 MultiGP GQ-NMGrower,Dynamic Weather,999.999,Infinitee,NO_DATA
2023 MultiGP GQ-ROFL,Dynamic Weather,999.999,Infinitee,NO_DATA
CDRA 2023  Champs Hyper,Empty Scene Day,33.404,Infinitee,UnitedStates,Five33Switchback,2023/03/30
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999.999,Infinitee,NO_DATA
Mayhem 22 by SFPV,Empty Scene Day,67.169,Infinitee,UnitedStates,Five33Switchback,2022/04/12
MGP Champs 2022,Dynamic Weather,86.896,Infinitee,UnitedStates,Five33Switchback,2022/10/21
MGP Champs 2022 sports track,Empty Scene Day,999.999,Infinitee,NO_DATA
MGP GQ 2023 remix,Dynamic Weather,999.999,Infinitee,NO_DATA
MGP Ice Rink Race 2022,Empty Scene Day,57.037,Infinitee,UnitedStates,Five33Switchback,2022/05/09
MGP Ice Storm 2023 by BonerFPV,Empty Scene Day,86.532,Infinitee,UnitedStates,SwitchbackZero,2023/05/03
MultiGP 2022 Global Qualifier,Dynamic Weather,28.274,Infinitee,UnitedStates,Five33Switchback,2022/04/25
MultiGP 2023 Mayhem-NMGrower,Empty Scene Day,999.999,Infinitee,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,999.999,Infinitee,NO_DATA
TBS EU Spec Series 5 FINAL,Dynamic Weather,999.999,Infinitee,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,999.999,Infinitee,NO_DATA
TBS EU Spec Series 5 Race 3,Dynamic Weather,83.670,Infinitee,UnitedStates,TBSSpec,2021/07/27
TBS EU Spec Series 5 Race 4,Football Stadium,86.261,Infinitee,UnitedStates,TBSSpec,2021/07/27
TBS EU Spec Series 5 Race 5,NEC Birmingham,68.917,Infinitee,UnitedStates,TBSSpec,2021/04/21
TBS EU Spec Series 5 Race 6,Dynamic Weather,78.855,Infinitee,UnitedStates,TBSSpec,2020/08/20
TBS EU Spec Series 5 Race 7,IndoorGoKart,71.336,Infinitee,UnitedStates,Five33Switchback,2021/11/11
VRL S9 FINALS,Dynamic Weather,86.160,Infinitee,UnitedStates,Five33Switchback,2023/03/25
VRL S9 T1,Dynamic Weather,82.406,Infinitee,UnitedStates,Five33Switchback,2023/01/20
VRL S9 T2,Dynamic Weather,70.382,Infinitee,UnitedStates,Five33Switchback,2023/01/28
VRL S9 T3,Dynamic Weather,66.966,Infinitee,UnitedStates,Five33Switchback,2023/02/04
VRL S9 T4,Dynamic Weather,85.865,Infinitee,UnitedStates,Five33Switchback,2023/02/14
VRL S9 T5,Dynamic Weather,999.999,Infinitee,NO_DATA
VRL S9 T6,Dynamic Weather,84.701,Infinitee,UnitedStates,Five33Switchback,2023/03/04
VRL S9 T7,Dynamic Weather,85.192,Infinitee,UnitedStates,Five33Switchback,2023/03/11
VRL S9 T8,Dynamic Weather,95.011,Infinitee,UnitedStates,Five33Switchback,2023/03/16
VRL Season 8 Championships,Dynamic Weather,72.941,Infinitee,UnitedStates,Five33Switchback,2022/04/02
VRL Season 8 Track 1,Office Complex,138.225,Infinitee,UnitedStates,Five33Switchback,2021/11/13
VRL Season 8 Track 2,Drift Track,92.558,Infinitee,UnitedStates,Five33Switchback,2022/02/01
VRL Season 8 Track 3,Night Factory 2,114.365,Infinitee,UnitedStates,Five33Switchback,2021/12/15
VRL Season 8 Track 4,DynamicPoly,136.627,Infinitee,UnitedStates,Five33Switchback,2021/12/11
VRL Season 8 Track 5,Dynamic Weather,104.153,Infinitee,UnitedStates,Five33Switchback,2021/12/16
VRL Season 8 Track 6,Night Factory 2,127.221,Infinitee,UnitedStates,Five33Switchback,2022/01/01
VRL SEASON 8 TRACK 7,Dynamic Weather,123.119,Infinitee,UnitedStates,Five33Switchback,2022/01/26
VRL SEASON 8 TRYOUTS,RedValley,999.999,Infinitee,NO_DATA
VRL Season 9 Tryouts,Dynamic Weather,100.732,Infinitee,UnitedStates,Five33Switchback,2022/12/21
