2020 Canadian MultiGP Series,Football Stadium,999.999,IsTim,NO_DATA
2020 MultiGP Champs presented by RDQ,Football Stadium,999.999,IsTim,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,104.161,IsTim,UnitedKingdom,Five33Switchback,2023/04/22
2021 MultiGP Champs Track 2,Empty Scene Day,999.999,IsTim,NO_DATA
2022 Freedom Spec Champioship,Dynamic Weather,82.480,IsTim,UnitedKingdom,TBSSpec,2022/10/21
2022 MultiGP Canadian Series by DCH FPV,Countryside,61.562,IsTim,UnitedKingdom,TBSSpec,2022/09/23
2022 MultiGP IO Freedom Spec,Dynamic Weather,103.702,IsTim,UnitedKingdom,Five33Switchback,2023/02/01
2022 MultiGP IO Intermediate,Dynamic Weather,999.999,IsTim,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,69.289,IsTim,UnitedKingdom,Five33Switchback,2023/04/08
2022 MultiGP IO World Cup,Dynamic Weather,72.084,IsTim,UnitedKingdom,Five33Switchback,2023/03/11
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,34.565,IsTim,UnitedKingdom,OpenRacer,2023/04/03
2023 MultiGP GQ-BonerFPV,Dynamic Weather,27.677,IsTim,UnitedKingdom,Five33Switchback,2023/02/28
2023 MultiGP GQ-Fastodon,Dynamic Weather,38.546,IsTim,UnitedKingdom,Five33Switchback,2023/02/28
2023 MultiGP GQ-Hakko,Dynamic Weather,40.506,IsTim,UnitedKingdom,TBSSpec,2023/03/01
2023 MultiGP GQ-Hyper,Dynamic Weather,40.741,IsTim,UnitedKingdom,TBSSpec,2023/05/04
2023 MultiGp GQ-Leviathann,Dynamic Weather,31.246,IsTim,UnitedKingdom,TBSSpec,2023/03/03
2023 MultiGP GQ-NMGrower,Dynamic Weather,38.260,IsTim,UnitedKingdom,Five33Switchback,2023/03/07
2023 MultiGP GQ-ROFL,Dynamic Weather,50.105,IsTim,UnitedKingdom,TBSSpec,2023/05/03
BDRA Championships 2022,Countryside,61.751,IsTim,UnitedKingdom,TBSSpec,2023/01/28
CDRA 2023  Champs Hyper,Empty Scene Day,43.115,IsTim,UnitedKingdom,TBSSpec,2023/03/27
DEP Open Series 5 Race 1,Football Stadium,67.573,IsTim,UnitedKingdom,OpenRacer,2023/03/28
DEP Open Series 5 Race 2,Football Stadium,82.552,IsTim,UnitedKingdom,Five33Switchback,2023/04/08
DEP Open Series 5 Race 3,Football Stadium,110.698,IsTim,UnitedKingdom,Five33Switchback,2023/01/01
DEP Open Series 5 Race 4,Football Stadium,93.742,IsTim,UnitedKingdom,Five33Switchback,2023/04/03
DEP Open Series 5 Race 5,Football Stadium,94.206,IsTim,UnitedKingdom,Five33Switchback,2023/04/08
DEP Open Series 5 Race 6,Football Stadium,79.873,IsTim,UnitedKingdom,Five33Switchback,2023/04/08
