DEP Open Pop-Up 2,Dynamic Weather,999.999,KOCFPV,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,52.642,KOCFPV,Turkey,SingularitumV5,2021/05/02
DEP Open Series 2 Race 7,Football Stadium,138.065,KOCFPV,Turkey,TBSSpec,2021/03/17
DEP Open Series 3 Race 1,Football Stadium,61.861,KOCFPV,Turkey,SingularitumV5,2021/05/09
DEP Open Series 3 Race 2,Football Stadium,90.463,KOCFPV,Turkey,TBSSpec,2021/03/14
DEP Open Series 3 Race 3,Karting Track,119.646,KOCFPV,Turkey,TBSSpec,2021/03/01
DEP Open Series 3 Race 4,Football Stadium,72.582,KOCFPV,Turkey,TBSSpec,2021/03/07
DEP Open Series 3 Race 5,Football Stadium,86.540,KOCFPV,Turkey,SingularitumV5,2021/03/12
DEP Open Series 3 Race 6,Football Stadium,102.212,KOCFPV,Turkey,SingularitumV5,2021/03/11
DEP Open Series 3 Race 7,Football Stadium,91.171,KOCFPV,Turkey,SingularitumV5,2021/03/17
DEP Open Series 4 Race 1,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,128.620,KOCFPV,Turkey,SingularitumV5,2021/05/05
DEP Open Series 4 Race 3,Football Stadium,73.046,KOCFPV,Turkey,SingularitumV5,2021/04/15
DEP Open Series 4 Race 4,Football Stadium,108.069,KOCFPV,Turkey,SingularitumV5,2021/05/03
DEP Open Series 4 Race 5,Football Stadium,66.259,KOCFPV,Turkey,SingularitumV5,2021/05/08
DEP Open Series 4 Race 6,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,69.354,KOCFPV,Turkey,CarbiXZero,2021/10/26
DEP Open Series 5 Race 2,Football Stadium,91.683,KOCFPV,Turkey,CarbiXZero,2021/10/31
DEP Open Series 5 Race 3,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,999.999,KOCFPV,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,116.306,KOCFPV,Turkey,CarbiXZero,2021/12/23
DEP Spec Series 1 Race 5,Football Stadium,999.999,KOCFPV,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,99.688,KOCFPV,Turkey,SingularitumV5,2021/03/05
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,57.371,KOCFPV,Turkey,SingularitumV5,2021/05/08
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,96.695,KOCFPV,Turkey,Mode2Ghost,2020/05/18
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,107.498,KOCFPV,Turkey,Mode2Ghost,2020/05/16
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999.999,KOCFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,97.042,KOCFPV,Turkey,Mode2Ghost,2020/05/15
TBS EU Spec Series 8 Final,Dynamic Weather,97.114,KOCFPV,Turkey,TBSSpec,2021/07/14
TBS EU Spec Series 8 Losers Final,Dynamic Weather,999.999,KOCFPV,NO_DATA
TBS EU Spec Series 8 Race 1,Dynamic Weather,82.332,KOCFPV,Turkey,TBSSpec,2021/04/01
TBS EU Spec Series 8 Race 2,Empty Scene Night,80.023,KOCFPV,Turkey,TBSSpec,2021/03/25
TBS EU Spec Series 8 Race 3,Football Stadium,62.494,KOCFPV,Turkey,TBSSpec,2021/04/24
TBS EU Spec Series 8 Race 4,Empty Scene Day,999.999,KOCFPV,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,999.999,KOCFPV,NO_DATA
