DEP Open Pop-Up 2,Dynamic Weather,87.119,LOSLobo,Hungary,TBSSpec,2021/06/30
DEP Open Series 2 Race 1,Dynamic Weather,999.999,LOSLobo,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,87.433,LOSLobo,Hungary,TBSSpec,2022/03/09
DEP Open Series 3 Race 1,Football Stadium,59.174,LOSLobo,Hungary,TBSSpec,2022/02/14
DEP Open Series 3 Race 2,Football Stadium,74.379,LOSLobo,Hungary,TBSSpec,2022/02/13
DEP Open Series 3 Race 3,Karting Track,999.999,LOSLobo,NO_DATA
DEP Open Series 3 Race 4,Football Stadium,61.192,LOSLobo,Hungary,TBSSpec,2021/12/29
DEP Open Series 3 Race 5,Football Stadium,78.804,LOSLobo,Hungary,TBSSpec,2021/12/26
DEP Open Series 3 Race 6,Football Stadium,94.656,LOSLobo,Hungary,TBSSpec,2022/01/15
DEP Open Series 3 Race 7,Football Stadium,92.422,LOSLobo,Hungary,TBSSpec,2022/02/24
DEP Open Series 4 Race 1,Football Stadium,91.682,LOSLobo,Hungary,TBSSpec,2021/06/09
DEP Open Series 4 Race 2,Football Stadium,118.099,LOSLobo,Hungary,TBSSpec,2021/05/26
DEP Open Series 4 Race 3,Football Stadium,70.049,LOSLobo,Hungary,TBSSpec,2021/06/09
DEP Open Series 4 Race 4,Football Stadium,98.766,LOSLobo,Hungary,TBSSpec,2021/05/11
DEP Open Series 4 Race 5,Football Stadium,69.003,LOSLobo,Hungary,TBSSpec,2021/11/18
DEP Open Series 4 Race 6,Football Stadium,74.408,LOSLobo,Hungary,TBSSpec,2021/06/10
DEP Open Series 4 Race 7,Football Stadium,68.758,LOSLobo,Hungary,TBSSpec,2022/02/22
DEP Open Series 5 Race 1,Football Stadium,999.999,LOSLobo,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,80.305,LOSLobo,Hungary,TBSSpec,2022/01/17
DEP Open Series 5 Race 3,Football Stadium,82.213,LOSLobo,Hungary,TBSSpec,2022/02/11
DEP Open Series 5 Race 4,Football Stadium,999.999,LOSLobo,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999.999,LOSLobo,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,73.014,LOSLobo,Hungary,TBSSpec,2021/12/17
DEP Open Series 5 Race 7,Football Stadium,106.287,LOSLobo,Hungary,TBSSpec,2021/12/26
DEP Open Series 6 Race 1,Football Stadium,77.574,LOSLobo,Hungary,TBSSpec,2022/03/16
DEP Open Series 6 Race 2,Football Stadium,102.804,LOSLobo,Hungary,TBSSpec,2022/03/22
DEP Spec Series 1 Race 5,Football Stadium,93.270,LOSLobo,Hungary,TBSSpec,2022/04/02
EU Spec Season 4 Race 1,Football Stadium,89.099,LOSLobo,Hungary,TBSSpec,2022/02/13
RCTech.de EU Spec Series 2 Final,Empty Scene Day,70.653,LOSLobo,Hungary,TBSSpec,2022/04/12
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,85.822,LOSLobo,Hungary,TBSSpec,2021/04/19
RCTech.de EU Spec Series 2 Race 1,Football Stadium,61.083,LOSLobo,Hungary,TBSSpec,2022/04/02
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999.999,LOSLobo,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,74.501,LOSLobo,Hungary,TBSSpec,2021/05/05
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,74.684,LOSLobo,Hungary,TBSSpec,2022/01/02
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999.999,LOSLobo,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,82.509,LOSLobo,Hungary,TBSSpec,2022/05/01
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,62.383,LOSLobo,Hungary,TBSSpec,2022/04/05
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,999.999,LOSLobo,NO_DATA
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999.999,LOSLobo,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999.999,LOSLobo,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,89.034,LOSLobo,Hungary,TBSSpec,2022/02/16
