2022 MultiGP IO Freedom Spec,Dynamic Weather,114.976,Saqoosha,Japan,TBSSpec,2022/05/29
2022 MultiGP IO Intermediate,Dynamic Weather,50.014,Saqoosha,Japan,TBSSpec,2022/05/27
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999.999,Saqoosha,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,64.071,Saqoosha,Japan,TBSSpec,2022/05/27
2022 MultiGP IO World Cup,Dynamic Weather,66.495,Saqoosha,Japan,TBSSpec,2022/05/28
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999.999,Saqoosha,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,56.240,Saqoosha,Japan,Ossa,2022/01/04
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999.999,Saqoosha,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,63.548,Saqoosha,Japan,TBSSpec,2022/03/04
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,53.602,Saqoosha,Japan,TBSSpec,2022/04/05
DEP Open Pop-Up 2,Dynamic Weather,999.999,Saqoosha,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999.999,Saqoosha,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,71.122,Saqoosha,Japan,Ossa,2021/02/04
DEP Open Series 3 Race 2,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 3 Race 3,Karting Track,82.908,Saqoosha,Japan,TBSSpec,2021/02/18
DEP Open Series 3 Race 4,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 3 Race 5,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 3 Race 6,Football Stadium,116.797,Saqoosha,Japan,Ossa,2021/03/13
DEP Open Series 3 Race 7,Football Stadium,93.208,Saqoosha,Japan,TBSSpec,2021/03/30
DEP Open Series 4 Race 1,Football Stadium,87.243,Saqoosha,Japan,TBSSpec,2021/04/03
DEP Open Series 4 Race 2,Football Stadium,99.841,Saqoosha,Japan,TBSSpec,2021/04/08
DEP Open Series 4 Race 3,Football Stadium,77.956,Saqoosha,Japan,TBSSpec,2021/04/24
DEP Open Series 4 Race 4,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999.999,Saqoosha,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,73.865,Saqoosha,Japan,TBSSpec,2021/05/14
DEP Open Series 4 Race 7,Football Stadium,69.412,Saqoosha,Japan,TBSSpec,2021/06/04
