DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,98.720,Solace,Canada,TBSSpec,2022/01/03
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,75.158,Solace,Canada,TwigXL3,2022/02/25
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999.999,Solace,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,999.999,Solace,NO_DATA
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,69.559,Solace,Canada,TwigXL3,2022/04/12
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,100.967,Solace,Canada,TBSSpec,2022/03/01
TBS EU Spec Series 10 Losers Final,Football Stadium,999.999,Solace,NO_DATA
TBS EU Spec Series 10 Race 1,Football Stadium,88.120,Solace,Canada,TwigXL3,2022/02/02
TBS EU Spec Series 10 Race 2,Empty Scene Day,85.409,Solace,Canada,TwigXL3,2022/02/24
TBS EU Spec Series 10 Race 3,Night Factory 2,86.286,Solace,Canada,TBSSpec,2022/02/25
TBS EU Spec Series 10 Race 4,Dynamic Weather,999.999,Solace,NO_DATA
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,85.969,Solace,Canada,TwigXL3,2022/02/02
TBS EU Spec Series 10 Race 6,Large Carpark,55.917,Solace,Canada,TwigXL3,2022/02/08
TBS EU Spec Series 10 Race 7,Football Stadium,92.125,Solace,Canada,TBSSpec,2022/02/08
