VRL6 Championships,Dynamic Weather,79.461,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/05/02
VRL6 Crash Site,Dynamic Weather,109.573,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/08/08
VRL6 Downtown Loop,Dynamic Weather,999.999,TBSRetiredNoic,NO_DATA
VRL6 Extermination,Dynamic Weather,85.587,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/04/11
VRL6 Kenerator,Dynamic Weather,112.017,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/04/25
VRL6 Meltdown,Dynamic Weather,88.844,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/08/08
VRL6 Reinforcement,Dynamic Weather,87.761,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/08/05
VRL6 Tunnel Vision,Dynamic Weather,97.608,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/04/18
VRL 7 Race 4,Dynamic Weather,81.602,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/12/04
VRL 7 Track 1,Future Hangar,92.379,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/10/31
VRL 7 Track 2,Future Hangar Empty,89.831,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/11/14
VRL 7 Track 3,Dynamic Weather,68.976,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/11/20
VRL 7 Track 5,Dynamic Weather,81.782,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/12/13
VRL 7 Track 6,Dynamic Weather,79.657,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/12/19
VRL7 Tryouts,Future Hangar Empty,91.741,TBSRetiredNoic,UnitedStates,CarbiXZero,2020/10/08
VRL SEASON 6 TRYOUTS,Dynamic Weather,999.999,TBSRetiredNoic,NO_DATA
VRL Season 7 Championships,Dynamic Weather,96.365,TBSRetiredNoic,UnitedStates,CarbiXZero,2021/01/02
