VRL6 Championships,Dynamic Weather,81.029,TCDAN00B,Spain,CarbiXZero,2021/03/16
VRL6 Crash Site,Dynamic Weather,100.293,TCDAN00B,Spain,CarbiXZero,2021/09/03
VRL6 Downtown Loop,Dynamic Weather,999.999,TCDAN00B,NO_DATA
VRL6 Extermination,Dynamic Weather,97.921,TCDAN00B,Spain,Mode2Ghost,2020/04/11
VRL6 Kenerator,Dynamic Weather,116.044,TCDAN00B,Spain,CarbiXZero,2021/08/10
VRL6 Meltdown,Dynamic Weather,999.999,TCDAN00B,NO_DATA
VRL6 Reinforcement,Dynamic Weather,999.999,TCDAN00B,NO_DATA
VRL6 Tunnel Vision,Dynamic Weather,108.624,TCDAN00B,Spain,CarbiXZero,2020/04/18
VRL 7 Race 4,Dynamic Weather,84.787,TCDAN00B,Spain,CarbiXZero,2021/03/13
VRL 7 Track 1,Future Hangar,93.366,TCDAN00B,Spain,CarbiXZero,2021/02/10
VRL 7 Track 2,Future Hangar Empty,90.425,TCDAN00B,Spain,CarbiXZero,2021/03/15
VRL 7 Track 3,Dynamic Weather,999.999,TCDAN00B,NO_DATA
VRL 7 Track 5,Dynamic Weather,79.886,TCDAN00B,Spain,CarbiXZero,2021/09/01
VRL 7 Track 6,Dynamic Weather,83.884,TCDAN00B,Spain,CarbiXZero,2020/12/26
VRL7 Tryouts,Future Hangar Empty,91.416,TCDAN00B,Spain,CarbiXZero,2020/10/19
VRL SEASON 6 TRYOUTS,Dynamic Weather,999.999,TCDAN00B,NO_DATA
VRL Season 7 Championships,Dynamic Weather,89.470,TCDAN00B,Spain,CarbiXZero,2021/09/03
