DEP Open Series 4 Race 1,Football Stadium,999.999,TITOO,NO_DATA
DEP Open Series 4 Race 2,Football Stadium,101.204,TITOO,Brazil,Ossa,2022/09/03
DEP Open Series 4 Race 3,Football Stadium,85.214,TITOO,Brazil,Ossa,2022/12/03
DEP Open Series 4 Race 4,Football Stadium,89.448,TITOO,Brazil,Five33Switchback,2022/12/30
DEP Open Series 4 Race 5,Football Stadium,68.854,TITOO,Brazil,Five33Switchback,2022/08/05
DEP Open Series 4 Race 6,Football Stadium,86.393,TITOO,Brazil,Five33Switchback,2021/05/20
DEP Open Series 4 Race 7,Football Stadium,999.999,TITOO,NO_DATA
TBS EU Spec Series 8 Final,Dynamic Weather,86.191,TITOO,Brazil,Five33Switchback,2021/07/11
TBS EU Spec Series 8 Losers Final,Dynamic Weather,67.221,TITOO,Brazil,Five33Switchback,2021/08/08
TBS EU Spec Series 8 Race 1,Dynamic Weather,999.999,TITOO,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,999.999,TITOO,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,999.999,TITOO,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,999.999,TITOO,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,63.672,TITOO,Brazil,Five33Switchback,2021/06/05
TBS EU Spec Series 8 Race 6,Football Stadium,76.750,TITOO,Brazil,Five33Switchback,2021/07/03
TBS EU Spec Series 8 Race 7,Empty Scene Day,82.155,TITOO,Brazil,Five33Switchback,2021/06/26
