DEP Open Series 5 Race 1,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,100.200,UnderTheRadar,Canada,TBSSpec,2021/11/23
DEP Open Series 5 Race 4,Football Stadium,110.812,UnderTheRadar,Canada,TwigXL3,2021/11/25
DEP Open Series 5 Race 5,Football Stadium,121.167,UnderTheRadar,Canada,TBSSpec,2021/12/15
DEP Open Series 5 Race 6,Football Stadium,999.999,UnderTheRadar,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,195.343,UnderTheRadar,Canada,TwigXL3,2022/01/04
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,87.441,UnderTheRadar,Canada,Five33Switchback,2022/02/27
TBS EU Spec Series 10 Losers Final,Football Stadium,71.402,UnderTheRadar,Canada,TwigXL3,2022/02/14
TBS EU Spec Series 10 Race 1,Football Stadium,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 3,Night Factory 2,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 4,Dynamic Weather,89.695,UnderTheRadar,Canada,TBSSpec,2022/01/11
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,74.669,UnderTheRadar,Canada,TwigXL3,2022/02/01
TBS EU Spec Series 10 Race 6,Large Carpark,999.999,UnderTheRadar,NO_DATA
TBS EU Spec Series 10 Race 7,Football Stadium,127.287,UnderTheRadar,Canada,TBSSpec,2022/02/12
