DEP Open Series 5 Race 1,Football Stadium,999.999,Wizard_,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,127.238,Wizard_,UnitedKingdom,TBSSpec,2021/10/29
DEP Open Series 5 Race 3,Football Stadium,135.235,Wizard_,UnitedKingdom,Five33Switchback,2021/11/17
DEP Open Series 5 Race 4,Football Stadium,999.999,Wizard_,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,137.107,Wizard_,UnitedKingdom,Five33Switchback,2021/12/18
DEP Open Series 5 Race 6,Football Stadium,999.999,Wizard_,NO_DATA
DEP Open Series 5 Race 7,Football Stadium,152.407,Wizard_,UnitedKingdom,Five33Switchback,2021/12/22
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,85.264,Wizard_,UnitedKingdom,TBSSpec,2022/05/18
TBS EU Spec Series 10 Losers Final,Football Stadium,67.237,Wizard_,UnitedKingdom,Five33Switchback,2022/04/13
TBS EU Spec Series 10 Race 1,Football Stadium,999.999,Wizard_,NO_DATA
TBS EU Spec Series 10 Race 2,Empty Scene Day,82.081,Wizard_,UnitedKingdom,TBSSpec,2022/04/14
TBS EU Spec Series 10 Race 3,Night Factory 2,86.162,Wizard_,UnitedKingdom,TBSSpec,2022/12/10
TBS EU Spec Series 10 Race 4,Dynamic Weather,76.243,Wizard_,UnitedKingdom,TBSSpec,2022/12/10
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,88.173,Wizard_,UnitedKingdom,TBSSpec,2022/12/10
TBS EU Spec Series 10 Race 6,Large Carpark,54.022,Wizard_,UnitedKingdom,TBSSpec,2022/03/09
TBS EU Spec Series 10 Race 7,Football Stadium,94.127,Wizard_,UnitedKingdom,Five33Switchback,2022/03/28
TBS EU Spec Series 11 Final,Dynamic Weather,121.858,Wizard_,UnitedKingdom,TBSSpec,2022/10/20
TBS EU Spec Series 11 Race 1,Dynamic Weather,75.280,Wizard_,UnitedKingdom,TBSSpec,2022/08/01
TBS EU Spec Series 11 Race 2,Countryside,97.185,Wizard_,UnitedKingdom,TBSSpec,2022/08/17
TBS EU Spec Series 11 Race 3,Dynamic Weather,107.425,Wizard_,UnitedKingdom,TBSSpec,2022/08/17
TBS EU Spec Series 11 Race 5,Dynamic Weather,85.774,Wizard_,UnitedKingdom,TBSSpec,2022/08/17
TBS EU Spec Series 11 Race 5,NEC Birmingham,86.983,Wizard_,UnitedKingdom,Five33Switchback,2022/07/19
TBS EU Spec Series 11 Race 6,Dynamic Weather,83.035,Wizard_,UnitedKingdom,Five33Switchback,2022/07/19
TBS EU Spec Series 11 Race 7,Dynamic Weather,85.525,Wizard_,UnitedKingdom,Five33Switchback,2022/07/30
TBS EU Spec Series 8 Final,Dynamic Weather,999.999,Wizard_,NO_DATA
TBS EU Spec Series 8 Losers Final,Dynamic Weather,96.333,Wizard_,UnitedKingdom,TBSSpec,2022/01/09
TBS EU Spec Series 8 Race 1,Dynamic Weather,103.056,Wizard_,UnitedKingdom,TBSSpec,2022/01/08
TBS EU Spec Series 8 Race 2,Empty Scene Night,999.999,Wizard_,NO_DATA
TBS EU Spec Series 8 Race 3,Football Stadium,999.999,Wizard_,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,999.999,Wizard_,NO_DATA
TBS EU Spec Series 8 Race 5,Future Hangar Empty,69.706,Wizard_,UnitedKingdom,TBSSpec,2022/01/09
TBS EU Spec Series 8 Race 6,Football Stadium,88.244,Wizard_,UnitedKingdom,TBSSpec,2022/01/08
TBS EU Spec Series 8 Race 7,Empty Scene Day,99.234,Wizard_,UnitedKingdom,TBSSpec,2022/01/08
