DEP Open Pop-Up 2,Dynamic Weather,96.893,YCKFPV,China,Five33Switchback,2022/02/10
DEP Open Series 2 Race 1,Dynamic Weather,57.277,YCKFPV,China,Five33Switchback,2022/02/10
DEP Open Series 2 Race 7,Football Stadium,106.925,YCKFPV,China,Five33Switchback,2022/02/10
DEP Open Series 3 Race 1,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,120.020,YCKFPV,China,Five33Switchback,2021/06/03
DEP Open Series 3 Race 3,Karting Track,120.093,YCKFPV,China,Five33Switchback,2021/05/23
DEP Open Series 3 Race 4,Football Stadium,86.718,YCKFPV,China,Five33Switchback,2021/05/22
DEP Open Series 3 Race 5,Football Stadium,99.521,YCKFPV,China,Five33Switchback,2021/06/03
DEP Open Series 3 Race 6,Football Stadium,127.155,YCKFPV,China,Five33Switchback,2021/05/23
DEP Open Series 3 Race 7,Football Stadium,120.747,YCKFPV,China,Five33Switchback,2021/05/23
DEP Open Series 4 Race 1,Football Stadium,110.882,YCKFPV,China,Five33Switchback,2021/06/04
DEP Open Series 4 Race 2,Football Stadium,143.527,YCKFPV,China,Five33Switchback,2021/05/22
DEP Open Series 4 Race 3,Football Stadium,103.312,YCKFPV,China,Five33Switchback,2021/05/22
DEP Open Series 4 Race 4,Football Stadium,114.704,YCKFPV,China,Five33Switchback,2021/05/22
DEP Open Series 4 Race 5,Football Stadium,78.472,YCKFPV,China,Five33Switchback,2021/05/11
DEP Open Series 4 Race 6,Football Stadium,83.759,YCKFPV,China,Five33Switchback,2021/07/02
DEP Open Series 4 Race 7,Football Stadium,90.366,YCKFPV,China,Five33Switchback,2021/06/01
DEP Open Series 5 Race 1,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 5 Race 3,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 5 Race 4,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,999.999,YCKFPV,NO_DATA
DEP Open Series 5 Race 6,Football Stadium,83.143,YCKFPV,China,SniperX,2021/12/25
DEP Open Series 5 Race 7,Football Stadium,124.107,YCKFPV,China,SniperX,2021/12/25
DEP Spec Series 1 Race 5,Football Stadium,119.207,YCKFPV,China,Five33Switchback,2021/05/22
TBS EU Spec Series 8 Final,Dynamic Weather,118.328,YCKFPV,China,Five33Switchback,2021/07/14
TBS EU Spec Series 8 Losers Final,Dynamic Weather,99.703,YCKFPV,China,Five33Switchback,2021/06/26
TBS EU Spec Series 8 Race 1,Dynamic Weather,999.999,YCKFPV,NO_DATA
TBS EU Spec Series 8 Race 2,Empty Scene Night,118.182,YCKFPV,China,Five33Switchback,2021/05/25
TBS EU Spec Series 8 Race 3,Football Stadium,999.999,YCKFPV,NO_DATA
TBS EU Spec Series 8 Race 4,Empty Scene Day,86.663,YCKFPV,China,Five33Switchback,2021/06/14
TBS EU Spec Series 8 Race 5,Future Hangar Empty,93.434,YCKFPV,China,Five33Switchback,2021/05/25
TBS EU Spec Series 8 Race 6,Football Stadium,88.911,YCKFPV,China,Five33Switchback,2021/06/13
TBS EU Spec Series 8 Race 7,Empty Scene Day,94.062,YCKFPV,China,Five33Switchback,2021/06/17
