2020 Canadian MultiGP Series,Football Stadium,58.231,eedok,Canada,Mode2Ghost,2022/06/06
2020 MultiGP Champs presented by RDQ,Football Stadium,75.162,eedok,Canada,Mode2Ghost,2022/05/21
2021 MultiGP Champs Track 1,Empty Scene Day,102.007,eedok,Canada,Mode2Ghost,2022/06/25
2021 MultiGP Champs Track 2,Empty Scene Day,66.680,eedok,Canada,HX115,2021/12/31
2022 MultiGP Canadian Series by DCH FPV,Countryside,41.922,eedok,Canada,Mode2Ghost,2022/06/28
2022 MultiGP IO Freedom Spec,Dynamic Weather,87.845,eedok,Canada,Mode2Ghost,2022/06/05
2022 MultiGP IO Intermediate,Dynamic Weather,52.406,eedok,Canada,Mode2Ghost,2022/06/05
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,34.821,eedok,Canada,Tazmanian,2022/06/06
2022 MultiGP IO Micro,Countryside,53.713,eedok,Canada,HX115,2022/05/29
2022 MultiGP IO Team,Dynamic Weather,65.759,eedok,Canada,Mode2Ghost,2022/05/28
2022 MultiGP IO World Cup,Dynamic Weather,64.638,eedok,Canada,Mode2Ghost,2022/06/03
DEP Open Pop-Up 2,Dynamic Weather,73.865,eedok,Canada,Mode2Ghost,2022/06/25
DEP Open Series 2 Race 1,Dynamic Weather,65.668,eedok,Canada,Mode2Ghost,2022/06/07
DEP Open Series 2 Race 7,Football Stadium,122.922,eedok,Canada,Mode2Ghost,2021/10/05
DEP Open Series 3 Race 1,Football Stadium,63.074,eedok,Canada,Mode2Ghost,2022/05/21
DEP Open Series 3 Race 2,Football Stadium,115.382,eedok,Canada,Mode2Ghost,2022/06/01
DEP Open Series 3 Race 3,Karting Track,128.389,eedok,Canada,BMSJS-1,2021/02/22
DEP Open Series 3 Race 4,Football Stadium,77.537,eedok,Canada,Mode2Ghost,2022/06/06
DEP Open Series 3 Race 5,Football Stadium,91.945,eedok,Canada,Mode2Ghost,2022/06/25
DEP Open Series 3 Race 6,Football Stadium,141.143,eedok,Canada,Mode2Ghost,2021/10/06
DEP Open Series 3 Race 7,Football Stadium,120.747,eedok,Canada,Mode2Ghost,2021/10/06
DEP Open Series 4 Race 1,Football Stadium,115.454,eedok,Canada,Mode2Ghost,2021/10/06
DEP Open Series 4 Race 2,Football Stadium,126.648,eedok,Canada,Mode2Ghost,2022/06/25
DEP Open Series 4 Race 3,Football Stadium,81.012,eedok,Canada,Mode2Ghost,2022/06/25
DEP Open Series 4 Race 4,Football Stadium,999.999,eedok,NO_DATA
DEP Open Series 4 Race 5,Football Stadium,999.999,eedok,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,999.999,eedok,NO_DATA
