2020 Canadian MultiGP Series,Football Stadium,62.338,ibor24,Switzerland,TwigXL3,2021/08/28
2020 MultiGP Champs presented by RDQ,Football Stadium,999.999,ibor24,NO_DATA
2021 MultiGP Champs Track 1,Empty Scene Day,999.999,ibor24,NO_DATA
2021 MultiGP Champs Track 2,Empty Scene Day,999.999,ibor24,NO_DATA
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,66.613,ibor24,Switzerland,TwigXL3,2021/12/01
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,77.658,ibor24,Switzerland,TwigXL3,2022/01/01
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,87.381,ibor24,Switzerland,TwigXL3,2022/02/01
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,78.820,ibor24,Switzerland,TwigXL3,2022/03/02
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,67.971,ibor24,Switzerland,TwigXL3,2022/04/01
DEP Open Pop-Up 2,Dynamic Weather,99.611,ibor24,Switzerland,TBSSpec,2021/07/03
DEP Open Series 2 Race 1,Dynamic Weather,62.302,ibor24,Switzerland,TwigXL3,2021/09/29
DEP Open Series 2 Race 7,Football Stadium,999.999,ibor24,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,999.999,ibor24,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,999.999,ibor24,NO_DATA
DEP Open Series 3 Race 3,Karting Track,100.429,ibor24,Switzerland,TBSSpec,2021/08/31
DEP Open Series 3 Race 4,Football Stadium,89.259,ibor24,Switzerland,Five33Switchback,2021/02/25
DEP Open Series 3 Race 5,Football Stadium,97.563,ibor24,Switzerland,Five33Switchback,2021/05/17
DEP Open Series 3 Race 6,Football Stadium,999.999,ibor24,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,113.340,ibor24,Switzerland,TBSSpec,2021/07/06
DEP Open Series 4 Race 1,Football Stadium,111.419,ibor24,Switzerland,TBSSpec,2021/07/08
DEP Open Series 4 Race 2,Football Stadium,127.218,ibor24,Switzerland,TBSSpec,2021/07/09
DEP Open Series 4 Race 3,Football Stadium,82.058,ibor24,Switzerland,TBSSpec,2021/07/10
DEP Open Series 4 Race 4,Football Stadium,115.129,ibor24,Switzerland,TBSSpec,2021/12/06
DEP Open Series 4 Race 5,Football Stadium,78.081,ibor24,Switzerland,TBSSpec,2021/12/06
DEP Open Series 4 Race 6,Football Stadium,88.706,ibor24,Switzerland,Five33Switchback,2021/05/16
DEP Open Series 4 Race 7,Football Stadium,999.999,ibor24,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,65.879,ibor24,Switzerland,Five33Switchback,2021/11/10
DEP Open Series 5 Race 2,Football Stadium,89.498,ibor24,Switzerland,TBSSpec,2021/12/07
DEP Open Series 5 Race 3,Football Stadium,100.945,ibor24,Switzerland,TwigXL3,2021/11/22
DEP Open Series 5 Race 4,Football Stadium,94.153,ibor24,Switzerland,DiatoneGTB339,2021/11/27
DEP Open Series 5 Race 5,Football Stadium,99.650,ibor24,Switzerland,TBSSpec,2021/12/03
DEP Open Series 5 Race 6,Football Stadium,87.825,ibor24,Switzerland,TBSSpec,2021/12/16
DEP Open Series 5 Race 7,Football Stadium,130.694,ibor24,Switzerland,TBSSpec,2021/12/23
DEP Open Series 6 Race 1,Football Stadium,88.894,ibor24,Switzerland,TBSSpec,2022/03/03
DEP Open Series 6 Race 2,Football Stadium,999.999,ibor24,NO_DATA
DEP Spec Series 1 Race 5,Football Stadium,999.999,ibor24,NO_DATA
EU Spec Season 4 Race 1,Football Stadium,98.949,ibor24,Switzerland,Five33Switchback,2021/07/15
Formula FLow I,Empty Scene Day,71.441,ibor24,Switzerland,CarbiXZero,2022/03/11
Formula Flow II,Empty Scene Day,102.527,ibor24,Switzerland,TBSSpec,2022/03/09
Formula Flow III,Empty Scene Day,135.799,ibor24,Switzerland,CarbiXZero,2022/03/10
Formula Flow IV,Empty Scene Day,145.176,ibor24,Switzerland,TBSSpec,2022/03/10
Mayhem 2021 By YAWESOME,Empty Scene Day,84.838,ibor24,Switzerland,TBSSpec,2022/04/01
Mayhem 22 by SFPV,Empty Scene Day,88.980,ibor24,Switzerland,TBSSpec,2022/03/29
Mayhem Dawn till Dusk,Empty Scene Day,56.726,ibor24,Switzerland,TBSSpec,2021/12/21
MGP2018IOIntermediate,Empty Scene Day,35.549,ibor24,Switzerland,TBSSpec,2021/07/26
MGP2018IORookie,Empty Scene Day,15.630,ibor24,Switzerland,Five33Switchback,2021/07/27
MGP2018IOTeam,Empty Scene Day,62.365,ibor24,Switzerland,Five33Switchback,2021/04/21
MGP2018IOWorldCup,Empty Scene Day,92.098,ibor24,Switzerland,TBSSpec,2021/07/22
MultiGP 2016 RF,Football Stadium,46.927,ibor24,Switzerland,TwigXL3,2021/09/05
MultiGP 2017 RF,Football Stadium,64.500,ibor24,Switzerland,Five33Switchback,2021/05/15
MultiGP 2018 RF,Empty Scene Day,121.416,ibor24,Switzerland,TinyHawk,2020/12/26
MultiGP 2018 RQ,Football Stadium,63.778,ibor24,Switzerland,TinyHawk,2021/01/09
MultiGP_2019_Qualifier_Large,Dynamic Weather,49.918,ibor24,Switzerland,TwigXL3,2021/08/04
MultiGP_2019_Qualifier_Spec,Empty Scene Day,54.240,ibor24,Switzerland,TinyHawk,2021/02/08
MultiGP 2019 Sport Championships,Football Stadium,72.958,ibor24,Switzerland,TBSSpec,2021/12/17
MultiGP 2020 Global Qualifier,Empty Scene Day,999.999,ibor24,NO_DATA
MultiGP 2021 Global Qualifier,Football Stadium,999.999,ibor24,NO_DATA
MultiGP Bessel Run,Football Stadium,22.877,ibor24,Switzerland,TwigXL3,2021/09/05
MultiGP-Championships-2019,Empty Scene Day,78.159,ibor24,Switzerland,TBSSpec,2021/07/24
MultiGP High Voltage,Football Stadium,23.865,ibor24,Switzerland,Five33Switchback,2021/09/05
MultiGP IO 2019 Team,Empty Scene Day,68.897,ibor24,Switzerland,TBSSpec,2021/07/23
MultiGP IO 2019 World Cup,Empty Scene Day,87.587,ibor24,Switzerland,TBSSpec,2021/07/24
MultiGPIOSpec2018,Empty Scene Day,92.290,ibor24,Switzerland,TBSSpec,2021/07/24
MultiGP Round 2 FNL,Sports Hall,31.994,ibor24,Switzerland,TinyHawk,2021/01/30
MultiGP Tsunami,Football Stadium,20.800,ibor24,Switzerland,Five33Switchback,2021/09/06
MultiGP UTT 1,Football Stadium,25.480,ibor24,Switzerland,Five33Switchback,2021/09/06
MultiGP UTT 5,Football Stadium,21.151,ibor24,Switzerland,Five33Switchback,2021/06/06
MultiGP UTT 6,Football Stadium,32.573,ibor24,Switzerland,TwigXL3,2021/10/02
RCTech.de EU Spec Series 2 Final,Empty Scene Day,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,98.028,ibor24,Switzerland,Five33Switchback,2020/12/16
RCTech.de EU Spec Series 2 Race 1,Football Stadium,68.693,ibor24,Switzerland,Five33Switchback,2021/05/16
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,93.192,ibor24,Switzerland,Five33Switchback,2021/04/22
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,89.727,ibor24,Switzerland,TBSSpec,2022/02/25
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,82.252,ibor24,Switzerland,TBSSpec,2021/08/01
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,77.547,ibor24,Switzerland,TBSSpec,2022/02/25
RCTech_de EU Spec Series 3 Final,Empty Scene Day,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,72.678,ibor24,Switzerland,TwigXL3,2022/03/13
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,73.810,ibor24,Switzerland,TBSSpec,2022/02/26
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999.999,ibor24,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,999.999,ibor24,NO_DATA
TBS EU Spec Season 5 Race 1,Football Stadium,70.591,ibor24,Switzerland,TBSSpec,2022/03/21
TBS EU Spec Series 10 FINAL --- ChrisM,Football Stadium,98.053,ibor24,Switzerland,TBSSpec,2022/02/18
TBS EU Spec Series 10 Losers Final,Football Stadium,62.324,ibor24,Switzerland,TBSSpec,2022/03/21
TBS EU Spec Series 10 Race 1,Football Stadium,72.140,ibor24,Switzerland,TBSSpec,2022/03/22
TBS EU Spec Series 10 Race 2,Empty Scene Day,71.711,ibor24,Switzerland,TBSSpec,2022/03/22
TBS EU Spec Series 10 Race 3,Night Factory 2,82.643,ibor24,Switzerland,TBSSpec,2021/12/17
TBS EU Spec Series 10 Race 4,Dynamic Weather,84.124,ibor24,Switzerland,TBSSpec,2022/01/06
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,68.768,ibor24,Switzerland,TBSSpec,2022/03/22
TBS EU Spec Series 10 Race 6,Large Carpark,48.552,ibor24,Switzerland,TinyHawk,2022/01/27
TBS EU Spec Series 10 Race 7,Football Stadium,89.191,ibor24,Switzerland,TBSSpec,2022/02/13
TBS EU Spec Series 4 FINAL,Dynamic Weather,108.177,ibor24,Switzerland,TBSSpec,2021/12/04
TBS EU Spec Series 4 Race 2,Empty Scene Day,999.999,ibor24,NO_DATA
TBS EU Spec Series 4 Race 3,IndoorGoKart,999.999,ibor24,NO_DATA
TBS EU Spec Series 4 Race 4,Empty Scene Day,999.999,ibor24,NO_DATA
TBS EU Spec Series 4 Race 5,Dynamic Weather,97.688,ibor24,Switzerland,Five33Switchback,2021/09/11
TBS EU Spec Series 4 Race 7,Football Stadium,999.999,ibor24,NO_DATA
