2022 Freedom Spec Champioship,Dynamic Weather,68.392,kuatoFPV,NewZealand,SniperX,2022/08/24
2022 MultiGP Canadian Series by DCH FPV,Countryside,999.999,kuatoFPV,NO_DATA
2022 MultiGP IO Freedom Spec,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2022 MultiGP IO Intermediate,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,71.528,kuatoFPV,NewZealand,SniperX,2022/06/02
2022 MultiGP IO World Cup,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2023 MultiGP GQ-BonerFPV,Dynamic Weather,27.519,kuatoFPV,NewZealand,SniperX,2023/03/07
2023 MultiGP GQ-Fastodon,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2023 MultiGP GQ-Hakko,Dynamic Weather,999.999,kuatoFPV,NO_DATA
2023 MultiGP GQ-Hyper,Dynamic Weather,42.047,kuatoFPV,NewZealand,SniperX,2023/03/13
2023 MultiGp GQ-Leviathann,Dynamic Weather,32.334,kuatoFPV,NewZealand,SniperX,2023/03/13
2023 MultiGP GQ-NMGrower,Dynamic Weather,40.994,kuatoFPV,NewZealand,SniperX,2023/03/13
2023 MultiGP GQ-ROFL,Dynamic Weather,50.349,kuatoFPV,NewZealand,SniperX,2023/03/13
CDRA 2023  Champs Hyper,Empty Scene Day,42.392,kuatoFPV,NewZealand,SniperX,2023/03/30
DEP Open Pop-Up 2,Dynamic Weather,61.940,kuatoFPV,NewZealand,CarbiXZero,2021/07/13
DEP Open Series 2 Race 1,Dynamic Weather,999.999,kuatoFPV,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,99.736,kuatoFPV,NewZealand,Five33Switchback,2021/03/31
DEP Open Series 3 Race 1,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 3 Race 3,Karting Track,83.866,kuatoFPV,NewZealand,BMSJS-1,2021/11/11
DEP Open Series 3 Race 4,Football Stadium,74.983,kuatoFPV,NewZealand,Five33Switchback,2021/03/04
DEP Open Series 3 Race 5,Football Stadium,89.136,kuatoFPV,NewZealand,Five33Switchback,2021/03/07
DEP Open Series 3 Race 6,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 3 Race 7,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 4 Race 1,Football Stadium,91.646,kuatoFPV,NewZealand,Five33Switchback,2021/04/13
DEP Open Series 4 Race 2,Football Stadium,97.220,kuatoFPV,NewZealand,CarbiXZero,2021/04/15
DEP Open Series 4 Race 3,Football Stadium,66.418,kuatoFPV,NewZealand,CarbiXZero,2021/04/15
DEP Open Series 4 Race 4,Football Stadium,94.605,kuatoFPV,NewZealand,CarbiXZero,2021/04/23
DEP Open Series 4 Race 5,Football Stadium,65.530,kuatoFPV,NewZealand,CarbiXZero,2021/05/11
DEP Open Series 4 Race 6,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 4 Race 7,Football Stadium,72.710,kuatoFPV,NewZealand,CarbiXZero,2021/05/31
DEP Open Series 5 Race 1,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 5 Race 2,Football Stadium,68.584,kuatoFPV,NewZealand,CarbiXZero,2021/11/06
DEP Open Series 5 Race 3,Football Stadium,77.614,kuatoFPV,NewZealand,Chief,2021/11/20
DEP Open Series 5 Race 4,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 5 Race 5,Football Stadium,84.280,kuatoFPV,NewZealand,SniperX,2023/03/21
DEP Open Series 5 Race 6,Football Stadium,71.534,kuatoFPV,NewZealand,Chief,2021/12/17
DEP Open Series 5 Race 7,Football Stadium,94.637,kuatoFPV,NewZealand,Chief,2021/12/24
DEP Open Series 6 Race 1,Football Stadium,999.999,kuatoFPV,NO_DATA
DEP Open Series 6 Race 2,Football Stadium,210.916,kuatoFPV,NewZealand,SniperX,2022/03/22
DEP Spec Series 1 Race 5,Football Stadium,999.999,kuatoFPV,NO_DATA
IO 2023 Main Stage FAI Yawesome,Empty Scene Day,999.999,kuatoFPV,NO_DATA
