DEP Open Pop-Up 2,Dynamic Weather,999.999,limmo,NO_DATA
DEP Open Series 2 Race 1,Dynamic Weather,999.999,limmo,NO_DATA
DEP Open Series 2 Race 7,Football Stadium,139.478,limmo,Germany,Five33Switchback,2022/01/10
DEP Open Series 3 Race 1,Football Stadium,999.999,limmo,NO_DATA
DEP Open Series 3 Race 2,Football Stadium,119.541,limmo,Germany,Five33Switchback,2022/01/24
DEP Open Series 3 Race 3,Karting Track,109.439,limmo,Germany,Five33Switchback,2022/01/25
DEP Open Series 3 Race 4,Football Stadium,87.304,limmo,Germany,Five33Switchback,2022/01/16
DEP Open Series 3 Race 5,Football Stadium,108.721,limmo,Germany,Five33Switchback,2022/01/16
DEP Open Series 3 Race 6,Football Stadium,146.453,limmo,Germany,Five33Switchback,2022/01/17
DEP Open Series 3 Race 7,Football Stadium,128.335,limmo,Germany,Five33Switchback,2022/01/20
DEP Open Series 4 Race 1,Football Stadium,116.311,limmo,Germany,Five33Switchback,2022/01/16
DEP Open Series 4 Race 2,Football Stadium,999.999,limmo,NO_DATA
DEP Open Series 4 Race 3,Football Stadium,101.684,limmo,Germany,Five33Switchback,2021/12/21
DEP Open Series 4 Race 4,Football Stadium,132.329,limmo,Germany,Five33Switchback,2021/12/21
DEP Open Series 4 Race 5,Football Stadium,999.999,limmo,NO_DATA
DEP Open Series 4 Race 6,Football Stadium,108.215,limmo,Germany,Five33Switchback,2021/12/21
DEP Open Series 4 Race 7,Football Stadium,999.999,limmo,NO_DATA
DEP Open Series 5 Race 1,Football Stadium,92.735,limmo,Germany,Five33Switchback,2021/12/11
DEP Open Series 5 Race 2,Football Stadium,118.321,limmo,Germany,Five33Switchback,2021/12/23
DEP Open Series 5 Race 3,Football Stadium,122.429,limmo,Germany,Five33Switchback,2021/12/23
DEP Open Series 5 Race 4,Football Stadium,130.783,limmo,Germany,Five33Switchback,2022/01/27
DEP Open Series 5 Race 5,Football Stadium,133.717,limmo,Germany,Five33Switchback,2022/01/27
DEP Open Series 5 Race 6,Football Stadium,122.375,limmo,Germany,Five33Switchback,2022/01/27
DEP Open Series 5 Race 7,Football Stadium,149.624,limmo,Germany,Five33Switchback,2022/01/27
DEP Spec Series 1 Race 5,Football Stadium,999.999,limmo,NO_DATA
VRL Season 3 Track 1,Empty Scene Day,124.991,limmo,Germany,SingularitumV5,2021/08/20
VRL Season 3 Track 2,Empty Scene Day,144.001,limmo,Germany,LilBastard,2020/10/04
VRL Season 3 Track 3,Empty Scene Day,233.484,limmo,Germany,LilBastard,2020/10/04
VRL Season 3 Track 4,Empty Scene Day,196.197,limmo,Germany,LilBastard,2020/10/04
VRL Season 3 Track 5,Empty Scene Day,212.946,limmo,Germany,LilBastard,2020/10/04
VRL Season 3 Track 6,Empty Scene Day,254.686,limmo,Germany,Five33Switchback,2021/10/23
