DEP Open Pop-Up 2,Dynamic Weather,89.541,mcrakus,Poland,Ossa,2021/07/09
DEP Open Series 2 Race 1,Dynamic Weather,55.772,mcrakus,Poland,TBSSpec,2020/12/03
DEP Open Series 2 Race 7,Football Stadium,999.999,mcrakus,NO_DATA
DEP Open Series 3 Race 1,Football Stadium,65.156,mcrakus,Poland,TBSSpec,2021/02/13
DEP Open Series 3 Race 2,Football Stadium,89.765,mcrakus,Poland,TBSSpec,2021/02/17
DEP Open Series 3 Race 3,Karting Track,94.388,mcrakus,Poland,TBSSpec,2021/02/18
DEP Open Series 3 Race 4,Football Stadium,73.356,mcrakus,Poland,TBSSpec,2021/03/02
DEP Open Series 3 Race 5,Football Stadium,85.368,mcrakus,Poland,TBSSpec,2021/03/03
DEP Open Series 3 Race 6,Football Stadium,109.865,mcrakus,Poland,TBSSpec,2021/03/11
DEP Open Series 3 Race 7,Football Stadium,97.060,mcrakus,Poland,TBSSpec,2021/03/21
DEP Open Series 4 Race 1,Football Stadium,91.962,mcrakus,Poland,TBSSpec,2021/04/06
DEP Open Series 4 Race 2,Football Stadium,114.819,mcrakus,Poland,TBSSpec,2021/04/14
DEP Open Series 4 Race 3,Football Stadium,73.598,mcrakus,Poland,TBSSpec,2021/04/16
DEP Open Series 4 Race 4,Football Stadium,95.742,mcrakus,Poland,TBSSpec,2021/04/28
DEP Open Series 4 Race 5,Football Stadium,68.082,mcrakus,Poland,Ossa,2021/05/02
DEP Open Series 4 Race 6,Football Stadium,73.024,mcrakus,Poland,Ossa,2021/05/12
DEP Open Series 4 Race 7,Football Stadium,78.326,mcrakus,Poland,TBSSpec,2021/11/22
DEP Open Series 5 Race 1,Football Stadium,68.950,mcrakus,Poland,TBSSpec,2021/11/10
DEP Open Series 5 Race 2,Football Stadium,80.311,mcrakus,Poland,TBSSpec,2021/11/20
DEP Open Series 5 Race 3,Football Stadium,84.570,mcrakus,Poland,TBSSpec,2021/11/19
DEP Open Series 5 Race 4,Football Stadium,83.851,mcrakus,Poland,TBSSpec,2021/11/26
DEP Open Series 5 Race 5,Football Stadium,93.591,mcrakus,Poland,Ossa,2021/12/11
DEP Open Series 5 Race 6,Football Stadium,80.545,mcrakus,Poland,TBSSpec,2021/12/16
DEP Open Series 5 Race 7,Football Stadium,114.365,mcrakus,Poland,TBSSpec,2021/12/22
DEP Spec Series 1 Race 5,Football Stadium,100.851,mcrakus,Poland,Ossa,2020/11/09
EU Spec Season 4 Race 1,Football Stadium,100.640,mcrakus,Poland,TBSSpec,2020/04/30
RCTech.de EU Spec Series 2 Final,Empty Scene Day,81.351,mcrakus,Poland,TBSSpec,2021/03/08
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,85.261,mcrakus,Poland,TBSSpec,2020/04/06
RCTech.de EU Spec Series 2 Race 1,Football Stadium,999.999,mcrakus,NO_DATA
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999.999,mcrakus,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,86.690,mcrakus,Poland,TBSSpec,2020/04/11
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,999.999,mcrakus,NO_DATA
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,999.999,mcrakus,NO_DATA
RCTech_de EU Spec Series 3 Final,Empty Scene Day,93.275,mcrakus,Poland,TBSSpec,2020/04/17
