2020 Canadian MultiGP Series,Football Stadium,41.259,mv,Estonia,TBSSpec,2023/01/06
2020 MultiGP Champs presented by RDQ,Football Stadium,54.950,mv,Estonia,TBSSpec,2021/12/10
2021 MultiGP Champs Track 1,Empty Scene Day,90.778,mv,Estonia,CarbiXZero,2022/12/31
2021 MultiGP Champs Track 2,Empty Scene Day,49.670,mv,Estonia,CarbiXZero,2022/09/27
2022 Freedom Spec Champioship,Dynamic Weather,57.955,mv,Estonia,CarbiXZero,2022/08/21
2022 MultiGP Canadian Series by DCH FPV,Countryside,41.089,mv,Estonia,TBSSpec,2022/08/15
2022 MultiGP IO Freedom Spec,Dynamic Weather,83.245,mv,Estonia,CarbiXZero,2022/05/27
2022 MultiGP IO Intermediate,Dynamic Weather,46.471,mv,Estonia,CarbiXZero,2022/06/07
2022 MultiGP IO Mega Class by SFPV,Dynamic Weather,999.999,mv,NO_DATA
2022 MultiGP IO Micro,Countryside,999.999,mv,NO_DATA
2022 MultiGP IO Team,Dynamic Weather,55.454,mv,Estonia,CarbiXZero,2022/05/31
2022 MultiGP IO World Cup,Dynamic Weather,58.081,mv,Estonia,CarbiXZero,2022/06/03
2023 MultiGP GQ-AyyyKayyy,Dynamic Weather,32.802,mv,Estonia,TBSSpec,2023/03/20
2023 MultiGP GQ-BonerFPV,Dynamic Weather,24.663,mv,Estonia,TBSSpec,2023/03/30
2023 MultiGP GQ-Fastodon,Dynamic Weather,32.665,mv,Estonia,TBSSpec,2023/03/05
2023 MultiGP GQ-Hakko,Dynamic Weather,35.833,mv,Estonia,TBSSpec,2023/03/04
2023 MultiGP GQ-Hyper,Dynamic Weather,999.999,mv,NO_DATA
2023 MultiGp GQ-Leviathann,Dynamic Weather,29.163,mv,Estonia,TBSSpec,2023/03/07
2023 MultiGP GQ-NMGrower,Dynamic Weather,37.147,mv,Estonia,TBSSpec,2023/03/11
2023 MultiGP GQ-ROFL,Dynamic Weather,999.999,mv,NO_DATA
BDRA Championships 2022,Countryside,999.999,mv,NO_DATA
CDRA 2023  Champs Hyper,Empty Scene Day,999.999,mv,NO_DATA
DDR Race Series - Track 1 by Sniper X dec,Empty Scene Day,999.999,mv,NO_DATA
DDR Race Series - Track 2 by Toxic fpv jan,Empty Scene Day,48.399,mv,Estonia,CarbiXZero,2022/01/11
DDR Race Series - Track 3 by Straydog fpv feb,Empty Scene Day,999.999,mv,NO_DATA
DDR Race Series - Track 4 by Boner fpv march,Empty Scene Day,60.672,mv,Estonia,CarbiXZero,2022/03/04
DDR Race Series - Track 5 by NelisFPV fpv april,Empty Scene Day,48.209,mv,Estonia,CarbiXZero,2022/04/12
