
RCTech.de EU Spec Series 2 Final,Empty Scene Day,149,84.148,DAFFPV,Sweden,TBSSpec,2021/04/19
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,112,86.398,DAFFPV,Sweden,TBSSpec,2021/04/19
RCTech.de EU Spec Series 2 Race 1,Football Stadium,157,72.149,DAFFPV,Sweden,Five33Switchback,2021/04/21
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,999,999.999,DAFFPV,NO_DATA
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,52,70.441,DAFFPV,Sweden,Five33Switchback,2021/08/03
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,58,79.543,DAFFPV,Sweden,TBSSpec,2021/02/04
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,62,87.315,DAFFPV,Sweden,TBSSpec,2021/03/12
RCTech_de EU Spec Series 3 Final,Empty Scene Day,52,75.967,DAFFPV,Sweden,Chief,2022/01/19
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,106,77.299,DAFFPV,Sweden,CarbiXZero,2020/08/28
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,33,70.316,DAFFPV,Sweden,Five33Switchback,2021/08/21
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,95,99.816,DAFFPV,Sweden,Chief,2021/12/11
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,999,999.999,DAFFPV,NO_DATA
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,100,89.127,DAFFPV,Sweden,Five33Switchback,2021/09/06
TBS EU Spec Season 5 Race 1,Football Stadium,162,69.604,DAFFPV,Sweden,Five33Switchback,2021/06/07
TBS EU Spec Series 10 Race 1,Football Stadium,128,82.861,DAFFPV,Sweden,Chief,2022/01/06
TBS EU Spec Series 10 Race 2,Empty Scene Day,93,76.473,DAFFPV,Sweden,Chief,2021/12/18
TBS EU Spec Series 10 Race 3,Night Factory 2,94,84.602,DAFFPV,Sweden,Chief,2022/01/09
TBS EU Spec Series 10 Race 4,Dynamic Weather,60,71.240,DAFFPV,Sweden,Chief,2022/01/07
TBS EU Spec Series 10 Race 5 _2,IndoorGoKart,87,75.906,DAFFPV,Sweden,Chief,2022/01/22
TBS EU Spec Series 10 Race 6,Large Carpark,34,42.274,DAFFPV,Sweden,Chief,2022/01/30
TBS EU Spec Series 4 FINAL,Dynamic Weather,109,98.227,DAFFPV,Sweden,Five33Switchback,2021/06/07
TBS EU Spec Series 4 Race 2,Empty Scene Day,122,74.237,DAFFPV,Sweden,Chief,2021/11/14
TBS EU Spec Series 4 Race 3,IndoorGoKart,100,125.789,DAFFPV,Sweden,TBSSpec,2021/02/04
TBS EU Spec Series 4 Race 4,Empty Scene Day,88,87.828,DAFFPV,Sweden,Five33Switchback,2021/06/30
TBS EU Spec Series 4 Race 5,Dynamic Weather,98,97.518,DAFFPV,Sweden,Chief,2022/02/03
TBS EU Spec Series 4 Race 7,Football Stadium,127,81.977,DAFFPV,Sweden,Five33Switchback,2021/08/17
TBS EU Spec Series 5 FINAL ,Dynamic Weather,93,95.164,DAFFPV,Sweden,Five33Switchback,2021/07/12
TBS EU Spec Series 5 Losers Final,Dynamic Weather,64,84.398,DAFFPV,Sweden,Five33Switchback,2020/12/06
TBS EU Spec Series 5 Race 3,Dynamic Weather,78,80.141,DAFFPV,Sweden,Five33Switchback,2021/06/30
TBS EU Spec Series 5 Race 4,Football Stadium,107,92.773,DAFFPV,Sweden,Five33Switchback,2021/07/29
TBS EU Spec Series 5 Race 5,NEC Birmingham,116,88.449,DAFFPV,Sweden,Five33Switchback,2021/06/07
TBS EU Spec Series 5 Race 6,Dynamic Weather,63,72.076,DAFFPV,Sweden,Five33Switchback,2021/08/17
TBS EU Spec Series 5 Race 7,IndoorGoKart,60,78.223,DAFFPV,Sweden,Chief,2022/01/19
TBS EU Spec Series 6 Final,Empty Scene Day,110,92.000,DAFFPV,Sweden,TBSSpec,2020/12/11
TBS EU Spec Series 6 Losers Final,Football Stadium,112,81.995,DAFFPV,Sweden,Five33Switchback,2021/07/29
TBS EU Spec Series 6 Race 1,Future Hangar Empty,69,73.991,DAFFPV,Sweden,Chief,2022/01/24
TBS EU Spec Series 6 Race 2,Empty Scene Day,147,79.292,DAFFPV,Sweden,Five33Switchback,2021/06/07
TBS EU Spec Series 6 Race 4,NEC Birmingham,71,76.313,DAFFPV,Sweden,TBSSpec,2021/07/07
TBS EU Spec Series 6 Race 5,Dynamic Weather,78,90.591,DAFFPV,Sweden,Five33Switchback,2021/07/24
TBS EU Spec Series 6 Race 6,Empty Scene Day,70,79.930,DAFFPV,Sweden,Five33Switchback,2020/11/18
TBS EU Spec Series 6 Race 7,Empty Scene Day,113,62.681,DAFFPV,Sweden,Five33Switchback,2021/06/23
TBS EU Spec Series 7 Final ,Empty Scene Day,133,85.253,DAFFPV,Sweden,Five33Switchback,2021/07/31
TBS EU Spec Series 7 Race 1,Football Stadium,99,75.281,DAFFPV,Sweden,Five33Switchback,2021/06/30
TBS EU Spec Series 7 Race 2,Empty Scene Day,110,77.516,DAFFPV,Sweden,Five33Switchback,2021/06/30
TBS EU Spec Series 7 Race 3,Empty Scene Day,146,82.983,DAFFPV,Sweden,Five33Switchback,2021/05/13
TBS EU Spec Series 7 Race 4,Empty Scene Day,130,78.215,DAFFPV,Sweden,Five33Switchback,2021/05/16
TBS EU Spec Series 7 Race 5,IndoorGoKart,163,88.375,DAFFPV,Sweden,TBSSpec,2021/02/12
TBS EU Spec Series 7 Race 6,Future Hangar Empty,181,96.789,DAFFPV,Sweden,Chief,2021/12/24
TBS EU Spec Series 7 Race 7,Empty Scene Day,168,102.082,DAFFPV,Sweden,TBSSpec,2021/02/19
TBS EU Spec Series 8 Final,Dynamic Weather,67,86.019,DAFFPV,Sweden,TBSSpec,2021/07/01
TBS EU Spec Series 8 Losers Final,Dynamic Weather,84,67.386,DAFFPV,Sweden,Five33Switchback,2021/06/26
TBS EU Spec Series 8 Race 1,Dynamic Weather,81,82.389,DAFFPV,Sweden,Five33Switchback,2021/07/12
TBS EU Spec Series 8 Race 2,Empty Scene Night,91,88.498,DAFFPV,Sweden,TBSSpec,2021/04/15
TBS EU Spec Series 8 Race 3,Football Stadium,152,77.029,DAFFPV,Sweden,Five33Switchback,2021/04/27
TBS EU Spec Series 8 Race 4,Empty Scene Day,117,88.238,DAFFPV,Sweden,Chief,2022/01/09
TBS EU Spec Series 8 Race 5,Future Hangar Empty,72,62.775,DAFFPV,Sweden,Chief,2022/01/08
TBS EU Spec Series 8 Race 6,Football Stadium,93,72.187,DAFFPV,Sweden,Chief,2022/01/16
TBS EU Spec Series 8 Race 7,Empty Scene Day,87,79.779,DAFFPV,Sweden,Five33Switchback,2021/06/12
TBS EU Spec Series 9 Final ,Dynamic Weather,102,71.900,DAFFPV,Sweden,Chief,2021/11/21
TBS EU Spec Series 9 Losers Final,Dynamic Weather,122,76.261,DAFFPV,Sweden,Chief,2021/11/09
TBS EU Spec Series 9 Race 1,Football Stadium,114,69.023,DAFFPV,Sweden,TBSSpec,2021/09/10
TBS EU Spec Series 9 Race 2,Dynamic Weather,125,69.029,DAFFPV,Sweden,TBSSpec,2021/11/10
TBS EU Spec Series 9 Race 3,Empty Scene Day,137,76.580,DAFFPV,Sweden,Chief,2022/01/09
TBS EU Spec Series 9 Race 4,Football Stadium,999,999.999,DAFFPV,NO_DATA
TBS EU Spec Series 9 Race 5,Empty Scene Day,999,999.999,DAFFPV,NO_DATA
TBS EU Spec Series 9 Race 6,Empty Scene Day,92,81.760,DAFFPV,Sweden,TBSSpec,2021/10/28
