
TBS EU Spec Season 5 Race 1,Football Stadium,999,999.999,HQThunder,NO_DATA
TBS EU Spec Series 5 FINAL ,Dynamic Weather,999,999.999,HQThunder,NO_DATA
TBS EU Spec Series 5 Losers Final,Dynamic Weather,6,67.900,HQThunder,Spain,TBSSpec,2020/09/10
TBS EU Spec Series 5 Race 3,Dynamic Weather,7,66.485,HQThunder,Spain,TBSSpec,2020/07/30
TBS EU Spec Series 5 Race 4,Football Stadium,7,71.157,HQThunder,Spain,TBSSpec,2020/07/30
TBS EU Spec Series 5 Race 5,NEC Birmingham,13,66.376,HQThunder,Spain,TBSSpec,2020/08/31
TBS EU Spec Series 5 Race 6,Dynamic Weather,5,59.162,HQThunder,Spain,TBSSpec,2020/08/31
TBS EU Spec Series 5 Race 7,IndoorGoKart,999,999.999,HQThunder,NO_DATA
TBS EU Spec Series 6 Final,Empty Scene Day,10,76.032,HQThunder,Spain,TBSSpec,2020/12/03
TBS EU Spec Series 6 Losers Final,Football Stadium,7,65.638,HQThunder,Spain,TBSSpec,2020/12/03
TBS EU Spec Series 6 Race 1,Future Hangar Empty,999,999.999,HQThunder,NO_DATA
TBS EU Spec Series 6 Race 2,Empty Scene Day,4,60.352,HQThunder,Spain,Mode2Ghost,2020/10/12
TBS EU Spec Series 6 Race 4,NEC Birmingham,5,57.029,HQThunder,Spain,TBSSpec,2020/11/05
TBS EU Spec Series 6 Race 5,Dynamic Weather,2,67.122,HQThunder,Spain,TBSSpec,2020/11/05
TBS EU Spec Series 6 Race 6,Empty Scene Day,9,70.256,HQThunder,Spain,TBSSpec,2020/12/02
TBS EU Spec Series 6 Race 7,Empty Scene Day,31,55.657,HQThunder,Spain,TBSSpec,2020/11/19
TBS EU Spec Series 7 Final ,Empty Scene Day,32,68.816,HQThunder,Spain,TBSSpec,2021/03/04
TBS EU Spec Series 7 Race 1,Football Stadium,20,65.631,HQThunder,Spain,TBSSpec,2021/01/07
TBS EU Spec Series 7 Race 2,Empty Scene Day,17,65.431,HQThunder,Spain,TBSSpec,2021/01/14
TBS EU Spec Series 7 Race 3,Empty Scene Day,23,68.471,HQThunder,Spain,TBSSpec,2021/01/21
TBS EU Spec Series 7 Race 4,Empty Scene Day,26,65.931,HQThunder,Spain,TBSSpec,2021/02/14
TBS EU Spec Series 7 Race 5,IndoorGoKart,19,68.343,HQThunder,Spain,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 6,Future Hangar Empty,6,60.587,HQThunder,Spain,TBSSpec,2021/02/15
TBS EU Spec Series 7 Race 7,Empty Scene Day,2,63.910,HQThunder,Spain,TBSSpec,2021/03/03
