
RCTech.de EU Spec Series 2 Final,Empty Scene Day,135,81.983,wuzzle,Germany,Five33Switchback,2020/08/30
RCTech.de EU Spec Series 2 Losers FInal,Empty Scene Day,80,78.173,wuzzle,Germany,Five33Switchback,2020/09/22
RCTech.de EU Spec Series 2 Race 1,Football Stadium,176,74.384,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 2 Race 3,Empty Scene Day,90,86.972,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 2 Race 4,Empty Scene Day,78,75.572,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 2 Race 5,IndoorGoKart,42,73.420,wuzzle,Germany,Five33Switchback,2020/09/22
RCTech.de EU Spec Series 2 Race 6,Empty Scene Day,58,84.535,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech_de EU Spec Series 3 Final,Empty Scene Day,134,92.234,wuzzle,Germany,Five33Switchback,2020/08/29
RCTech.de EU Spec Series 3 Race 1,NEC Birmingham,81,70.138,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 3 Race 2,Empty Scene Day,67,78.149,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 3 Race 3,Empty Scene Day,90,99.053,wuzzle,Germany,Five33Switchback,2020/08/24
RCTech.de EU Spec Series 3 Race 5,Empty Scene Day,171,129.174,wuzzle,Germany,Five33Switchback,2020/08/26
RCTech.de EU Spec Series 3 Race 6,NEC Birmingham,106,91.012,wuzzle,Germany,Five33Switchback,2020/08/29
